feature,count_ones
cpi_9606.ENSP00000337915,241
cpi_9606.ENSP00000311032,196
cpi_9606.ENSP00000367959,155
cpi_9606.ENSP00000297494,135
cpi_9606.ENSP00000353820,132
cpi_9606.ENSP00000215832,130
cpi_9606.ENSP00000263025,129
cpi_9606.ENSP00000283916,128
cpi_9606.ENSP00000398698,124
cpi_9606.ENSP00000265724,123
cpi_9606.ENSP00000222982,118
cpi_9606.ENSP00000361125,117
cpi_9606.ENSP00000260682,115
cpi_9606.ENSP00000270202,115
cpi_9606.ENSP00000272190,114
cpi_9606.ENSP00000263817,110
cpi_9606.ENSP00000342007,109
cpi_9606.ENSP00000258743,109
cpi_9606.ENSP00000337450,109
cpi_9606.ENSP00000360372,103
cpi_9606.ENSP00000280155,103
cpi_9606.ENSP00000327251,102
cpi_9606.ENSP00000306512,102
cpi_9606.ENSP00000269305,102
cpi_9606.ENSP00000356438,101
cpi_9606.ENSP00000316244,100
cpi_9606.ENSP00000387281,97
cpi_9606.ENSP00000369960,96
cpi_9606.ENSP00000337459,95
cpi_9606.ENSP00000354859,95
cpi_9606.ENSP00000386069,95
cpi_9606.ENSP00000262186,91
cpi_9606.ENSP00000276198,89
cpi_9606.ENSP00000270349,88
cpi_9606.ENSP00000336528,88
cpi_9606.ENSP00000295897,87
cpi_9606.ENSP00000337949,87
cpi_9606.ENSP00000306245,86
cpi_9606.ENSP00000380247,84
cpi_9606.ENSP00000231509,84
cpi_9606.ENSP00000360317,82
cpi_9606.ENSP00000368766,82
cpi_9606.ENSP00000330237,81
cpi_9606.ENSP00000306490,81
cpi_9606.ENSP00000306662,80
cpi_9606.ENSP00000355759,79
cpi_9606.ENSP00000258400,78
cpi_9606.ENSP00000361405,77
cpi_9606.ENSP00000319984,77
cpi_9606.ENSP00000373169,76
cpi_9606.ENSP00000241052,76
cpi_9606.ENSP00000264708,75
cpi_9606.ENSP00000305372,75
cpi_9606.ENSP00000358301,72
cpi_9606.ENSP00000237612,72
cpi_9606.ENSP00000206249,70
cpi_9606.ENSP00000261707,70
cpi_9606.ENSP00000255380,70
cpi_9606.ENSP00000225831,69
cpi_9606.ENSP00000409378,69
cpi_9606.ENSP00000260433,69
cpi_9606.ENSP00000264381,68
cpi_9606.ENSP00000324648,68
cpi_9606.ENSP00000358963,68
cpi_9606.ENSP00000363822,68
cpi_9606.ENSP00000302150,67
cpi_9606.ENSP00000275493,67
cpi_9606.ENSP00000358327,67
cpi_9606.ENSP00000263341,66
cpi_9606.ENSP00000219070,65
cpi_9606.ENSP00000219833,65
cpi_9606.ENSP00000327652,65
cpi_9606.ENSP00000313661,65
cpi_9606.ENSP00000176183,65
cpi_9606.ENSP00000412237,64
cpi_9606.ENSP00000369050,63
cpi_9606.ENSP00000394624,63
cpi_9606.ENSP00000351273,62
cpi_9606.ENSP00000372750,60
cpi_9606.ENSP00000387662,59
cpi_9606.ENSP00000287820,59
cpi_9606.ENSP00000216117,59
cpi_9606.ENSP00000355627,58
cpi_9606.ENSP00000414303,58
cpi_9606.ENSP00000354612,56
cpi_9606.ENSP00000265572,56
cpi_9606.ENSP00000368683,55
cpi_9606.ENSP00000360266,55
cpi_9606.ENSP00000252945,55
cpi_9606.ENSP00000289753,52
cpi_9606.ENSP00000353483,52
cpi_9606.ENSP00000264832,52
cpi_9606.ENSP00000290866,51
cpi_9606.ENSP00000306129,50
cpi_9606.ENSP00000265023,49
cpi_9606.ENSP00000385834,49
cpi_9606.ENSP00000325120,49
cpi_9606.ENSP00000223095,49
cpi_9606.ENSP00000282091,48
cpi_9606.ENSP00000338345,48
cpi_9606.ENSP00000350941,47
cpi_9606.ENSP00000464149,47
cpi_9606.ENSP00000338018,47
cpi_9606.ENSP00000262735,46
cpi_9606.ENSP00000382342,46
cpi_9606.ENSP00000347754,46
cpi_9606.ENSP00000343782,45
cpi_9606.ENSP00000384273,45
cpi_9606.ENSP00000307766,45
cpi_9606.ENSP00000269571,45
cpi_9606.ENSP00000302665,45
cpi_9606.ENSP00000329623,45
cpi_9606.ENSP00000221930,44
cpi_9606.ENSP00000303211,44
cpi_9606.ENSP00000367207,44
