feature,count_ones
f_9,1288
f_283,1284
f_0,1283
f_284,1279
f_344,1272
f_10,1265
f_332,1243
f_1,1227
f_18,1191
f_11,1167
f_582,1145
f_286,1141
f_178,1133
f_416,1120
f_352,1118
f_441,1113
f_14,1080
f_679,1074
f_446,1068
f_285,1068
f_351,1056
f_556,1046
f_490,1046
f_19,1045
f_524,1039
f_333,1035
f_640,1029
f_434,1026
f_678,1023
f_660,1023
f_708,991
f_599,987
f_255,980
f_390,976
f_710,972
f_709,970
f_355,968
f_179,966
f_374,962
f_688,959
f_365,956
f_430,945
f_564,938
f_516,933
f_384,932
f_664,931
f_570,928
f_2,921
f_370,920
f_345,919
f_420,915
f_592,914
f_608,913
f_470,913
f_595,913
f_520,913
f_668,911
f_634,911
f_552,910
f_677,907
f_584,907
f_578,904
f_603,904
f_613,900
f_618,892
f_371,889
f_540,885
f_683,872
f_443,846
f_637,844
f_340,830
f_356,829
f_12,826
f_680,800
f_696,799
f_15,796
f_656,796
f_185,795
f_299,776
f_535,762
f_341,762
f_393,759
f_366,728
f_689,720
f_308,716
f_607,706
f_579,688
f_406,677
f_464,668
f_346,662
f_684,637
f_143,633
f_449,626
f_20,626
f_643,622
f_391,621
f_698,615
f_549,614
f_697,600
f_617,599
f_257,593
f_405,582
f_692,580
f_573,577
f_392,571
f_376,568
f_633,567
f_619,554
f_437,552
f_186,551
f_380,547
f_641,545
f_704,544
f_628,542
f_545,542
f_451,517
f_452,507
f_655,503
f_495,502
f_548,499
f_146,498
f_712,491
f_528,491
f_574,486
f_665,485
f_502,477
f_657,476
f_585,476
f_418,475
f_566,473
f_440,459
f_600,458
f_546,455
f_614,455
f_192,454
f_181,447
f_645,441
f_439,439
f_338,437
f_442,433
f_453,432
f_335,432
f_553,427
f_569,427
f_659,425
f_611,421
f_256,419
f_339,414
f_498,413
f_377,403
f_381,397
f_541,395
f_571,394
f_538,392
f_606,391
f_651,388
f_180,383
f_145,382
f_375,380
f_671,378
f_646,371
f_358,369
f_382,369
f_387,357
f_16,355
f_542,355
f_594,354
f_666,354
f_396,352
f_555,346
f_638,344
f_699,342
f_403,341
f_241,335
f_539,334
f_560,333
f_506,333
f_472,333
f_482,333
f_523,328
f_248,326
f_654,324
f_431,319
f_604,318
f_536,313
f_567,305
f_593,305
f_597,303
f_33,302
f_450,298
f_777,294
f_3,294
f_259,292
f_691,289
f_672,287
f_357,284
f_818,283
f_293,283
f_667,282
f_487,278
f_530,277
f_476,276
f_682,274
f_797,272
f_521,271
f_565,270
f_602,270
f_589,268
f_626,268
f_353,264
f_639,263
f_447,262
f_493,262
f_576,262
f_636,257
f_662,250
f_373,250
f_491,245
f_445,243
f_519,243
f_580,239
f_702,239
f_798,234
f_674,234
f_690,232
f_596,231
f_432,230
f_623,229
f_37,227
f_379,226
f_714,226
f_821,224
f_577,217
f_681,215
f_663,215
f_244,212
f_695,211
f_484,211
f_258,211
f_776,208
f_642,205
f_581,205
f_294,203
f_435,203
f_342,198
f_615,196
f_372,196
f_150,193
f_693,193
f_758,193
f_819,192
f_755,191
f_334,190
f_620,189
f_632,189
f_21,187
f_368,183
f_711,182
f_389,181
f_199,180
f_550,179
f_504,177
f_572,174
f_701,174
f_735,172
f_412,171
f_591,170
f_685,169
f_507,168
f_438,167
f_193,166
f_537,166
f_462,166
f_243,165
f_337,161
f_349,160
f_23,159
f_13,158
f_586,158
f_287,157
f_703,157
f_249,156
f_547,154
f_362,153
f_261,153
f_501,152
f_590,152
f_673,150
f_598,149
f_383,147
f_386,145
f_531,145
f_499,145
f_686,144
f_503,143
f_153,142
f_485,137
f_144,135
f_756,134
f_705,132
f_800,132
f_779,132
f_385,131
f_700,127
f_188,124
f_251,124
f_658,124
f_860,123
f_734,121
f_532,120
f_458,113
f_459,111
f_824,108
f_624,106
f_612,106
f_250,104
f_378,103
f_213,103
f_601,102
f_414,102
f_457,102
f_242,101
f_399,100
f_527,100
f_737,99
f_300,98
f_400,98
f_152,98
f_840,96
f_694,96
f_707,95
f_544,94
f_34,94
f_716,93
f_761,93
f_861,93
f_500,93
f_301,92
f_563,91
f_661,91
f_621,88
f_465,87
f_397,87
f_605,86
f_305,85
f_515,85
f_187,83
f_17,83
f_839,83
f_24,83
f_630,78
f_395,77
f_227,76
f_610,75
f_260,75
f_713,75
f_421,73
f_687,73
f_38,71
f_652,70
f_206,70
f_359,69
f_364,69
f_22,67
f_575,66
f_489,65
f_480,62
f_488,62
f_367,62
f_780,61
f_803,60
f_423,59
f_157,59
f_422,58
f_517,57
f_483,57
f_336,56
f_647,56
f_363,56
f_533,56
f_200,55
f_514,54
f_717,54
f_30,53
f_784,53
f_805,52
f_467,52
f_801,52
f_494,51
f_650,51
f_115,51
f_216,50
f_347,50
f_314,50
f_411,50
f_425,49
f_456,49
f_588,48
f_129,48
f_230,48
f_559,48
f_822,47
f_160,46
f_738,46
f_721,45
f_625,45
f_454,44
f_742,44
f_215,44
f_826,42
f_132,42
f_475,42
f_759,41
f_558,41
f_644,40
f_159,39
f_398,39
f_508,39
f_361,39
f_343,38
f_131,38
f_513,38
f_486,37
f_740,36
f_471,36
f_653,36
f_116,36
f_522,36
f_473,36
f_609,35
f_543,34
f_833,34
f_419,34
f_461,33
f_496,33
f_770,33
f_455,32
f_401,32
f_631,32
f_750,31
f_813,31
f_229,31
f_394,30
f_388,30
f_812,29
f_518,29
f_729,29
f_792,29
f_429,29
f_477,29
f_195,29
f_474,29
f_568,28
f_164,27
f_407,27
f_830,27
f_551,27
f_767,26
f_778,26
f_292,26
f_715,25
f_26,25
f_815,25
f_752,24
f_167,23
f_782,23
f_791,23
f_511,23
f_820,22
f_207,22
f_408,22
f_35,22
f_763,22
f_725,22
f_788,22
f_757,21
f_46,21
f_749,21
f_728,21
f_676,21
f_466,21
f_706,21
f_409,20
f_417,20
f_166,20
f_427,20
f_622,20
f_25,19
f_214,19
f_298,19
f_827,19
f_43,19
f_262,18
f_448,18
f_616,18
f_350,18
f_719,17
f_722,16
f_460,16
f_194,16
f_785,16
f_799,15
f_866,15
f_505,15
f_118,15
f_771,14
f_436,14
f_413,14
f_330,14
f_327,14
f_297,14
f_497,14
f_834,14
f_47,14
f_31,14
f_736,14
f_764,14
f_635,14
f_202,13
f_328,13
f_27,13
f_509,13
f_510,13
f_554,13
f_670,13
f_675,13
f_726,12
f_768,12
f_583,12
f_789,12
f_831,12
f_529,11
f_845,11
f_428,11
f_836,11
f_151,10
f_629,10
f_587,10
f_526,10
f_773,10
