feature,count_ones
f_9,1342
f_283,1338
f_0,1337
f_284,1333
f_344,1324
f_10,1319
f_332,1295
f_1,1279
f_18,1249
f_11,1219
f_582,1195
f_286,1193
f_178,1185
f_352,1170
f_416,1161
f_441,1154
f_679,1124
f_14,1110
f_446,1106
f_285,1098
f_19,1097
f_351,1086
f_556,1085
f_490,1085
f_333,1079
f_524,1078
f_640,1068
f_434,1064
f_678,1062
f_660,1062
f_708,1035
f_599,1025
f_710,1016
f_709,1014
f_179,1009
f_688,1003
f_374,1002
f_255,1001
f_390,997
f_355,989
f_365,986
f_430,982
f_2,971
f_516,961
f_564,959
f_420,959
f_664,952
f_384,951
f_570,947
f_345,947
f_592,940
f_370,938
f_520,932
f_608,932
f_595,932
f_470,932
f_634,930
f_668,930
f_552,929
f_584,926
f_677,926
f_603,923
f_578,923
f_613,919
f_618,911
f_371,907
f_540,906
f_683,892
f_637,891
f_443,890
f_12,874
f_340,856
f_356,848
f_680,847
f_696,840
f_185,840
f_15,816
f_656,812
f_341,810
f_535,804
f_299,795
f_393,778
f_689,767
f_366,767
f_308,764
f_579,730
f_406,721
f_607,718
f_346,701
f_684,679
f_464,676
f_143,671
f_20,669
f_698,655
f_617,641
f_391,640
f_643,639
f_697,637
f_449,636
f_549,622
f_692,622
f_405,612
f_257,600
f_573,591
f_704,584
f_380,582
f_392,581
f_186,580
f_376,577
f_633,573
f_619,568
f_641,563
f_437,560
f_545,549
f_628,547
f_452,534
f_451,525
f_712,520
f_655,519
f_146,515
f_548,511
f_495,511
f_528,508
f_574,498
f_566,496
f_665,490
f_440,486
f_614,485
f_192,484
f_418,483
f_585,483
f_657,483
f_502,481
f_181,465
f_335,465
f_600,463
f_338,460
f_546,459
f_339,451
f_553,450
f_645,449
f_439,447
f_569,440
f_453,440
f_659,439
f_442,439
f_611,434
f_571,427
f_256,425
f_498,423
f_377,408
f_381,407
f_541,405
f_606,401
f_671,401
f_651,398
f_538,396
f_145,394
f_180,389
f_375,388
f_382,379
