UMLS_id	MedDRA_ADR_level	MedDRA_ADR_id	MedDRA_ADR_name
C0000727	LT	10000647	Acute abdomen
C0000727	PT	10000647	Acute abdomen
C0000727	LT	10042784	Syndrome abdominal acute
C0000727	LT	10000096	Abdominal syndrome acute
C0000729	LT	10000057	Abdominal cramps
C0000729	LT	10000056	Abdominal cramp
C0000729	LT	10011286	Cramp abdominal
C0000729	LT	10000058	Abdominal crampy pains
C0000729	LT	10018727	Griping abdominal
C0000729	LT	10018726	Griping abdomen
C0000731	LT	10013480	Distended abdomen
C0000731	LT	10000060	Abdominal distension
C0000731	PT	10000060	Abdominal distension
C0000731	LT	10042714	Swollen abdomen
C0000731	LT	10042679	Swelling abdomen
C0000731	LT	10042678	Swelling abd
C0000734	LT	10000077	Abdominal mass
C0000734	PT	10000077	Abdominal mass
C0000734	LT	10000078	Abdominal mass NOS
C0000734	LT	10026868	Mass in abdomen
C0000735	LT	10048830	Abdominal neoplasm NOS
C0000735	LT	10060925	Abdominal neoplasm
C0000735	PT	10060925	Abdominal neoplasm
C0000735	LT	10062368	Abdominal tumor
C0000735	LT	10048885	Abdominal tumour
C0000737	LT	10033374	Pain abdominal
C0000737	LT	10000081	Abdominal pain
C0000737	PT	10000081	Abdominal pain
C0000737	LT	10000085	Abdominal pain NOS
C0000737	OL	10000039	Abd. pain
C0000737	OL	10000040	Abdo pain
C0000737	OL	10033373	Pain abdo
C0000737	LT	10018796	Gut pain
C0000766	LT	10048065	X-ray abnormal
C0000766	PT	10048065	X-ray abnormal
C0000766	LT	10048069	X-ray NOS abnormal
C0000767	OL	10038255	Reflexes abnormal NEC
C0000768	LT	10010316	Congenital abnormality NOS
C0000768	LT	10048305	Birth defects
C0000768	LT	10010356	Congenital anomaly
C0000768	PT	10010356	Congenital anomaly
C0000768	LT	10002617	Anomaly congenital
C0000768	LT	10010357	Congenital anomaly NOS
C0000768	OL	10002614	Anomaly anomaly congen
C0000768	OL	10010365	Congenital anomaly, unspecified
C0000768	LT	10060919	Foetal malformation
C0000768	PT	10060919	Foetal malformation
C0000768	LT	10060920	Fetal malformation
C0000768	LT	10012563	Developmental disturbance
C0000770	OL	10000194	Abnormalities of size and form of teeth
C0000772	LT	10028183	Multiple congenital anomalies
C0000772	LT	10002585	Anomalies congenital multiple
C0000772	LT	10002621	Anomaly congenital multiple (NOS)
C0000772	LT	10025533	Malformations multiple
C0000772	LT	10028182	Multiple congenital abnormalities
C0000772	PT	10028182	Multiple congenital abnormalities
C0000772	LT	10028185	Multiple congenital malformations
C0000774	LT	10061165	Gastrin secretion disorder
C0000774	PT	10061165	Gastrin secretion disorder
C0000774	LT	10017851	Gastrin secretion disorder NOS
C0000774	LT	10000203	Abnormality of secretion of gastrin
C0000786	LT	10041687	Spontaneous abortion
C0000786	LT	10000234	Abortion spontaneous
C0000786	PT	10000234	Abortion spontaneous
C0000786	LT	10000241	Abortion spontaneous NOS
C0000786	HT	10000235	Abortions spontaneous
C0000786	LT	10027649	Miscarriage
C0000786	LT	10027650	Miscarriage of pregnancy
C0000804	LT	10021356	Illegally induced abortion
C0000804	LT	10000224	Abortion induced illegally
C0000809	LT	10062935	Habitual abortion
C0000809	PT	10062935	Habitual abortion
