,include_original_features,dataset,averageAUROC,HammingLoss,SubsetAccuracy,RankingLoss,MacroPrecision,MacroRecall,MacroFOne,Nodes; Leaves,#XofN; #Feat/XofN,# Ung. Feats,XofN time (s); PCT tr. time (s)
1,no_org,fingerprint_mid_freq,0.599,0.371,0.237,0.256,0.498,0.386,0.431,145.2; 73.1,110.1; 4.9,1.5675348553010053,94.7; 0.7
0,with_org,fingerprint_mid_freq,0.601,0.373,0.231,0.257,0.493,0.394,0.435,152.2; 76.6,110.1; 4.9,1.5675348553010053,94.7; 1.3
5,no_org,fingerprint_low_freq,0.529,0.25,0.364,0.291,0.348,0.07,0.076,27.6; 14.3,112.0; 4.8,0.9227180257518057,94.7; 0.7
4,with_org,fingerprint_low_freq,0.527,0.25,0.363,0.292,0.364,0.071,0.054,27.2; 14.1,112.0; 4.8,0.9227180257518057,94.7; 1.3
8,no_org,fingerprint_high_freq,0.588,0.223,0.505,0.163,0.799,0.956,0.869,42.4; 21.7,110.9; 4.9,2.051675524225857,94.5; 0.7
11,with_org,fingerprint_high_freq,0.582,0.229,0.504,0.164,0.797,0.947,0.865,48.0; 24.5,110.9; 4.9,2.051675524225857,94.5; 1.3
13,no_org,fingerprint_cardiac,0.551,0.272,0.365,0.229,0.389,0.132,0.139,52.2; 26.6,111.0; 4.8,2.565815709519825,94.1; 0.7
12,with_org,fingerprint_cardiac,0.545,0.276,0.356,0.226,0.366,0.118,0.135,55.8; 28.4,111.0; 4.8,2.565815709519825,94.1; 1.3
17,no_org,CPI_mid_freq,0.602,0.371,0.237,0.266,0.532,0.391,0.447,95.0; 48.0,335.6; 4.7,33.04464430354028,463.5; 0.9
16,with_org,CPI_mid_freq,0.604,0.373,0.237,0.277,0.529,0.408,0.455,112.4; 56.7,335.6; 4.7,33.04464430354028,463.5; 2.5
22,no_org,CPI_low_freq,0.598,0.265,0.337,0.285,0.485,0.186,0.261,42.4; 21.7,331.2; 4.8,2.059205900274492,459.8; 0.9
21,with_org,CPI_low_freq,0.599,0.266,0.329,0.281,0.492,0.189,0.263,49.0; 25.0,331.2; 4.8,2.059205900274492,459.8; 2.6
24,no_org,CPI_high_freq,0.564,0.22,0.529,0.158,0.799,0.964,0.873,28.6; 14.8,343.6; 4.6,9.274427105187215,466.8; 0.9
27,with_org,CPI_high_freq,0.58,0.228,0.517,0.159,0.795,0.956,0.868,33.8; 17.4,343.6; 4.6,9.274427105187215,466.8; 2.6
29,no_org,CPI_cardiac,0.563,0.279,0.344,0.239,0.459,0.171,0.204,46.0; 23.5,355.6; 4.4,24.99709033250133,464.8; 0.9
28,with_org,CPI_cardiac,0.567,0.272,0.346,0.243,0.495,0.192,0.266,57.4; 29.2,355.6; 4.4,24.99709033250133,464.8; 2.6
