,include_original_features,dataset,averageAUROC,HammingLoss,SubsetAccuracy,RankingLoss,MacroPrecision,MacroRecall,MacroFOne,Nodes; Leaves,#XofN; #Feat/XofN,# Ung. Feats,XofN time (s); PCT tr. time (s)
1,no_org,fingerprint_mid_freq,0.594,0.37,0.24,0.266,0.503,0.402,0.444,156.2; 78.6,108.0; 5.0,0.0,179.9; 0.7
0,with_org,fingerprint_mid_freq,0.579,0.388,0.214,0.263,0.467,0.358,0.403,165.0; 83.0,108.0; 5.0,0.0,179.9; 1.3
5,no_org,fingerprint_low_freq,0.517,0.246,0.371,0.292,0.071,0.024,0.0,13.4; 7.2,108.0; 5.0,0.0,179.3; 0.7
4,with_org,fingerprint_low_freq,0.514,0.247,0.37,0.291,0.107,0.025,0.017,14.0; 7.5,108.0; 5.0,0.0,179.3; 1.3
8,no_org,fingerprint_high_freq,0.571,0.23,0.502,0.163,0.795,0.951,0.865,44.6; 22.8,108.0; 5.0,0.0,179.0; 0.7
11,with_org,fingerprint_high_freq,0.568,0.234,0.502,0.165,0.793,0.947,0.862,55.0; 28.0,108.0; 5.0,0.0,179.0; 1.3
13,no_org,fingerprint_cardiac,0.538,0.267,0.369,0.225,0.273,0.076,0.07,29.2; 15.1,108.0; 5.0,0.0,178.2; 0.7
12,with_org,fingerprint_cardiac,0.557,0.279,0.343,0.233,0.372,0.126,0.151,55.8; 28.4,108.0; 5.0,0.0,178.2; 1.3
17,no_org,CPI_mid_freq,0.6,0.368,0.24,0.26,0.538,0.362,0.428,108.2; 54.6,322.0; 5.0,0.0,836.5; 1.0
16,with_org,CPI_mid_freq,0.588,0.383,0.243,0.259,0.51,0.361,0.418,116.2; 58.6,322.0; 5.0,0.0,836.5; 2.8
22,no_org,CPI_low_freq,0.585,0.267,0.318,0.283,0.479,0.148,0.168,47.8; 24.4,322.0; 5.0,0.0,830.7; 1.0
21,with_org,CPI_low_freq,0.6,0.263,0.325,0.288,0.486,0.189,0.267,60.6; 30.8,322.0; 5.0,0.0,830.7; 2.7
24,no_org,CPI_high_freq,0.569,0.219,0.533,0.16,0.796,0.972,0.874,21.2; 11.1,322.0; 5.0,0.0,828.1; 0.9
27,with_org,CPI_high_freq,0.605,0.214,0.534,0.161,0.8,0.972,0.877,33.0; 17.0,322.0; 5.0,0.0,828.1; 2.6
29,no_org,CPI_cardiac,0.58,0.278,0.342,0.232,0.457,0.188,0.26,54.8; 27.9,322.0; 5.0,0.0,819.0; 1.0
28,with_org,CPI_cardiac,0.569,0.281,0.339,0.235,0.441,0.182,0.214,58.2; 29.6,322.0; 5.0,0.0,819.0; 2.7
34,no_org,CPI+fingerprint_mid_freq,0.613,0.352,0.258,0.262,0.528,0.387,0.444,157.8; 79.4,430.0; 5.0,0.0,1265.5; 1.2
35,with_org,CPI+fingerprint_mid_freq,0.61,0.358,0.251,0.258,0.517,0.365,0.425,159.0; 80.0,430.0; 5.0,0.0,1265.5; 3.5
37,no_org,CPI+fingerprint_low_freq,0.599,0.245,0.357,0.274,0.475,0.16,0.233,53.4; 27.2,430.0; 5.0,0.0,1257.5; 1.3
36,with_org,CPI+fingerprint_low_freq,0.604,0.247,0.359,0.267,0.458,0.166,0.239,67.2; 34.1,430.0; 5.0,0.0,1257.5; 3.9
41,no_org,CPI+fingerprint_high_freq,0.601,0.236,0.498,0.157,0.796,0.936,0.859,72.0; 36.5,430.0; 5.0,0.0,1248.1; 1.2
40,with_org,CPI+fingerprint_high_freq,0.602,0.237,0.495,0.157,0.794,0.936,0.858,72.6; 36.8,430.0; 5.0,0.0,1248.1; 3.5
44,no_org,CPI+fingerprint_cardiac,0.587,0.268,0.369,0.222,0.43,0.158,0.227,65.8; 33.4,430.0; 5.0,0.0,1220.1; 1.2
46,with_org,CPI+fingerprint_cardiac,0.596,0.272,0.366,0.228,0.429,0.196,0.262,85.8; 43.4,430.0; 5.0,0.0,1220.1; 3.8
