,include_original_features,dataset,averageAUROC,HammingLoss,SubsetAccuracy,RankingLoss,MacroPrecision,MacroRecall,MacroFOne,Nodes; Leaves,#XofN; #Feat/XofN,# Ung. Feats,XofN time (s); PCT tr. time (s)
1,no_org,fingerprint_mid_freq,0.605,0.368,0.237,0.258,0.499,0.343,0.404,158.0; 79.5,108.0; 5.0,0.0,78.3; 0.7
0,with_org,fingerprint_mid_freq,0.588,0.379,0.233,0.258,0.483,0.353,0.405,164.0; 82.5,108.0; 5.0,0.0,78.3; 1.3
5,no_org,fingerprint_low_freq,0.5,0.243,0.374,0.302,0.0,0.0,0.0,1.0; 1.0,108.0; 5.0,0.0,78.4; 0.7
4,with_org,fingerprint_low_freq,0.515,0.247,0.37,0.298,0.056,0.013,0.016,7.6; 4.3,108.0; 5.0,0.0,78.4; 1.3
8,no_org,fingerprint_high_freq,0.555,0.229,0.498,0.16,0.793,0.957,0.866,43.8; 22.4,108.0; 5.0,0.0,78.2; 0.7
11,with_org,fingerprint_high_freq,0.551,0.235,0.499,0.16,0.791,0.951,0.863,46.4; 23.7,108.0; 5.0,0.0,78.2; 1.3
13,no_org,fingerprint_cardiac,0.543,0.256,0.379,0.223,0.224,0.059,0.056,18.6; 9.8,108.0; 5.0,0.0,78.1; 0.7
12,with_org,fingerprint_cardiac,0.547,0.27,0.363,0.23,0.281,0.095,0.093,35.4; 18.2,108.0; 5.0,0.0,78.1; 1.3
17,no_org,CPI_mid_freq,0.599,0.367,0.244,0.267,0.544,0.37,0.436,108.8; 54.9,322.0; 5.0,0.0,359.1; 1.0
16,with_org,CPI_mid_freq,0.594,0.379,0.237,0.265,0.519,0.38,0.433,132.8; 66.9,322.0; 5.0,0.0,359.1; 2.9
22,no_org,CPI_low_freq,0.592,0.26,0.331,0.293,0.51,0.148,0.192,53.2; 27.1,322.0; 5.0,0.0,358.1; 1.1
21,with_org,CPI_low_freq,0.613,0.262,0.332,0.287,0.5,0.17,0.245,57.2; 29.1,322.0; 5.0,0.0,358.1; 3.0
24,no_org,CPI_high_freq,0.566,0.216,0.537,0.162,0.795,0.978,0.876,17.0; 9.0,322.0; 5.0,0.0,356.2; 0.9
27,with_org,CPI_high_freq,0.599,0.218,0.534,0.164,0.797,0.971,0.875,29.6; 15.3,322.0; 5.0,0.0,356.2; 2.6
29,no_org,CPI_cardiac,0.591,0.275,0.346,0.231,0.478,0.177,0.249,55.4; 28.2,322.0; 5.0,0.0,355.0; 1.0
28,with_org,CPI_cardiac,0.592,0.273,0.345,0.231,0.48,0.176,0.251,64.4; 32.7,322.0; 5.0,0.0,355.0; 3.0
34,no_org,CPI+fingerprint_mid_freq,0.592,0.361,0.26,0.255,0.512,0.372,0.428,150.6; 75.8,430.0; 5.0,0.0,537.5; 1.1
35,with_org,CPI+fingerprint_mid_freq,0.597,0.36,0.266,0.263,0.513,0.364,0.423,161.0; 81.0,430.0; 5.0,0.0,537.5; 3.5
37,no_org,CPI+fingerprint_low_freq,0.609,0.25,0.357,0.28,0.451,0.161,0.23,61.4; 31.2,430.0; 5.0,0.0,536.2; 1.2
36,with_org,CPI+fingerprint_low_freq,0.599,0.246,0.363,0.275,0.456,0.163,0.199,68.6; 34.8,430.0; 5.0,0.0,536.2; 3.9
41,no_org,CPI+fingerprint_high_freq,0.591,0.23,0.493,0.162,0.793,0.95,0.864,65.8; 33.4,430.0; 5.0,0.0,534.4; 1.2
40,with_org,CPI+fingerprint_high_freq,0.601,0.237,0.49,0.157,0.791,0.941,0.859,76.8; 38.9,430.0; 5.0,0.0,534.4; 3.5
44,no_org,CPI+fingerprint_cardiac,0.583,0.269,0.357,0.222,0.43,0.176,0.223,77.8; 39.4,430.0; 5.0,0.0,527.2; 1.2
46,with_org,CPI+fingerprint_cardiac,0.584,0.273,0.361,0.225,0.418,0.187,0.253,85.2; 43.1,430.0; 5.0,0.0,527.2; 3.9
47,no_org,fingerprint_ten,0.596,0.41,0.073,0.292,0.584,0.585,0.582,160.6; 80.8,108.0; 5.0,0.0,74.4; 0.7
48,with_org,fingerprint_ten,0.601,0.406,0.054,0.293,0.589,0.589,0.587,154.4; 77.7,108.0; 5.0,0.0,74.4; 1.3
49,no_org,CPI_ten,0.609,0.397,0.067,0.276,0.611,0.612,0.605,95.4; 48.2,322.0; 5.0,0.0,343.3; 1.0
50,with_org,CPI_ten,0.622,0.392,0.056,0.272,0.615,0.609,0.606,103.4; 52.2,322.0; 5.0,0.0,343.3; 2.7
51,no_org,CPI+fingerprint_ten,0.612,0.401,0.065,0.276,0.597,0.559,0.574,168.2; 84.6,430.0; 5.0,0.0,506.8; 1.1
52,with_org,CPI+fingerprint_ten,0.613,0.4,0.075,0.284,0.594,0.582,0.585,175.2; 88.1,430.0; 5.0,0.0,506.8; 3.6
62,no_org,fingerprint_ten_mid,0.585,0.354,0.117,0.343,0.483,0.259,0.331,98.4; 49.7,108.0; 5.0,0.0,75.7; 0.7
63,with_org,fingerprint_ten_mid,0.575,0.368,0.103,0.342,0.454,0.267,0.329,109.6; 55.3,108.0; 5.0,0.0,75.7; 1.3
66,no_org,CPI_ten_mid,0.581,0.352,0.116,0.372,0.515,0.271,0.32,71.0; 36.0,322.0; 5.0,0.0,349.7; 1.1
67,with_org,CPI_ten_mid,0.593,0.358,0.108,0.368,0.501,0.32,0.383,88.0; 44.5,322.0; 5.0,0.0,349.7; 3.1
70,no_org,CPI+fingerprint_ten_mid,0.588,0.346,0.127,0.354,0.505,0.263,0.34,91.6; 46.3,430.0; 5.0,0.0,574.4; 1.2
71,with_org,CPI+fingerprint_ten_mid,0.59,0.347,0.128,0.348,0.501,0.272,0.347,109.0; 55.0,430.0; 5.0,0.0,574.4; 4.0
