,pruning,include_original_features,dataset,averageAUROC,HammingLoss,SubsetAccuracy,nodes,leaves,groups,avg_group_features,gen_XofN_time,training_time
0,True,with_org,fingerprint_frequent,0.54195126,0.22644799999999998,0.512931,47.4,24.2,108.0,5.0,87.91173152999836,1.4887299100053497
1,True,no_org,fingerprint_frequent,0.5509904800000001,0.233914,0.500773,39.6,20.3,108.0,5.0,87.91173152999836,0.7273987200023839
2,False,with_org,fingerprint_frequent,0.57319271,0.278743,0.359495,599.0,300.0,108.0,5.0,87.91173152999836,1.4887299100053497
3,False,no_org,fingerprint_frequent,0.5751276,0.286729,0.362462,608.2,304.6,108.0,5.0,87.91173152999836,0.7273987200023839
4,True,no_org,fingerprint_diverse,0.5,0.18156699999999998,0.42575700000000005,1.0,1.0,108.0,5.0,87.78799766000012,0.7437400900060311
5,False,with_org,fingerprint_diverse,0.56752851,0.268308,0.229548,777.8,389.4,108.0,5.0,87.78799766000012,1.5840811100060819
6,False,no_org,fingerprint_diverse,0.56245794,0.276895,0.227272,805.4,403.2,108.0,5.0,87.78799766000012,0.7437400900060311
7,True,with_org,fingerprint_diverse,0.5169772499999999,0.178788,0.437122,3.6,2.3,108.0,5.0,87.78799766000012,1.5840811100060819
8,True,with_org,fingerprint_all,0.51479115,0.19891799999999998,0.11068549999999999,3.2,2.1,108.0,5.0,87.71215387999837,1.635671369996271
9,True,no_org,fingerprint_all,0.5,0.200827,0.1045798,1.2,1.1,108.0,5.0,87.71215387999837,0.7453481899923645
10,False,with_org,fingerprint_all,0.57000498,0.27131099999999997,0.0648856,974.2,487.6,108.0,5.0,87.71215387999837,1.635671369996271
11,False,no_org,fingerprint_all,0.56238215,0.283841,0.044275,972.4,486.7,108.0,5.0,87.71215387999837,0.7453481899923645
12,True,with_org,CPI_frequent,0.53830952,0.214506,0.538956,19.2,10.1,322.0,4.990683229813665,411.83559857000364,2.9063241100026063
13,True,no_org,CPI_frequent,0.50753312,0.213889,0.543469,12.0,6.5,322.0,4.990683229813665,411.83559857000364,0.9344510999973863
14,False,with_org,CPI_frequent,0.56691961,0.264664,0.40242000000000006,459.8,230.4,322.0,4.990683229813665,411.83559857000364,2.9063241100026063
15,False,no_org,CPI_frequent,0.55654211,0.271693,0.379971,449.2,225.1,322.0,4.990683229813665,411.83559857000364,0.9344510999973863
16,True,with_org,CPI_diverse,0.55862323,0.194753,0.400521,14.0,7.5,322.0,4.990683229813665,411.11262568999956,3.0426230199984277
17,True,no_org,CPI_diverse,0.53126611,0.191628,0.406757,6.6,3.8,322.0,4.990683229813665,411.11262568999956,0.9745461099955719
18,False,no_org,CPI_diverse,0.55779151,0.283066,0.227513,685.2,343.1,322.0,4.990683229813665,411.11262568999956,0.9745461099955719
19,False,with_org,CPI_diverse,0.5818228599999999,0.268961,0.23012000000000002,695.2,348.1,322.0,4.990683229813665,411.11262568999956,3.0426230199984277
20,True,with_org,CPI_all,0.51009187,0.202791,0.1020958,4.2,2.6,322.0,4.990683229813665,410.7267974399962,3.165177270004642
21,True,no_org,CPI_all,0.5,0.20316900000000002,0.0966661,1.0,1.0,322.0,4.990683229813665,410.7267974399962,1.0705843599978835
22,False,with_org,CPI_all,0.56992564,0.272108,0.0660032,793.2,397.1,322.0,4.990683229813665,410.7267974399962,3.165177270004642
23,False,no_org,CPI_all,0.5664889200000001,0.27481900000000004,0.05333330000000001,773.4,387.2,322.0,4.990683229813665,410.7267974399962,1.0705843599978835
24,False,with_org,CPI+fingerprint_frequent,0.57253989,0.288835,0.35546500000000003,611.2,306.1,430.0,4.993023255813953,624.3526207600022,3.559884850002709
25,True,with_org,CPI+fingerprint_frequent,0.57196545,0.24138600000000002,0.490236,65.6,33.3,430.0,4.993023255813953,624.3526207600022,3.559884850002709
26,True,no_org,CPI+fingerprint_frequent,0.55593889,0.231786,0.501767,48.0,24.5,430.0,4.993023255813953,624.3526207600022,1.243133619998116
27,False,no_org,CPI+fingerprint_frequent,0.57283269,0.288268,0.351091,637.4,319.2,430.0,4.993023255813953,624.3526207600022,1.243133619998116
28,True,with_org,CPI+fingerprint_diverse,0.5610923999999999,0.175434,0.440923,17.4,9.2,430.0,4.993023255813953,621.025556380002,4.20000942000479
29,True,no_org,CPI+fingerprint_diverse,0.53055645,0.17904,0.430846,9.2,5.1,430.0,4.993023255813953,621.025556380002,1.3499936999985949
30,False,with_org,CPI+fingerprint_diverse,0.5684588500000001,0.25987499999999997,0.25211700000000004,778.2,389.6,430.0,4.993023255813953,621.025556380002,4.20000942000479
31,False,no_org,CPI+fingerprint_diverse,0.5631845999999999,0.269714,0.24710200000000002,808.2,404.6,430.0,4.993023255813953,621.025556380002,1.3499936999985949
32,True,no_org,CPI+fingerprint_all,0.50165988,0.202283,0.10311699999999999,2.0,1.5,430.0,4.993023255813953,616.2041964599979,1.3812109799997416
33,False,with_org,CPI+fingerprint_all,0.56800045,0.271633,0.0518923,1012.8,506.9,430.0,4.993023255813953,616.2041964599979,3.923393449993455
34,True,with_org,CPI+fingerprint_all,0.51288116,0.20060099999999997,0.1081793,3.0,2.0,430.0,4.993023255813953,616.2041964599979,3.923393449993455
35,False,no_org,CPI+fingerprint_all,0.56669883,0.277405,0.0562246,1024.6,512.8,430.0,4.993023255813953,616.2041964599979,1.3812109799997416
