,include_original_features,dataset,averageAUROC,HammingLoss,SubsetAccuracy,Nodes; Leaves,#XofN; #Feat/XofN,# Ung. Feats,XofN time (s); PCT tr. time (s)
1,no_org,fingerprint_frequent,0.551,0.234,0.501,39.6; 20.3,108.0; 5.0,0.0,87.9; 0.7
0,with_org,fingerprint_frequent,0.542,0.226,0.513,47.4; 24.2,108.0; 5.0,0.0,87.9; 1.5
4,no_org,fingerprint_diverse,0.5,0.182,0.426,1.0; 1.0,108.0; 5.0,0.0,87.8; 0.7
7,with_org,fingerprint_diverse,0.517,0.179,0.437,3.6; 2.3,108.0; 5.0,0.0,87.8; 1.6
9,no_org,fingerprint_all,0.5,0.201,0.105,1.2; 1.1,108.0; 5.0,0.0,87.7; 0.7
8,with_org,fingerprint_all,0.515,0.199,0.111,3.2; 2.1,108.0; 5.0,0.0,87.7; 1.6
13,no_org,CPI_frequent,0.508,0.214,0.543,12.0; 6.5,322.0; 5.0,0.0,411.8; 0.9
12,with_org,CPI_frequent,0.538,0.215,0.539,19.2; 10.1,322.0; 5.0,0.0,411.8; 2.9
17,no_org,CPI_diverse,0.531,0.192,0.407,6.6; 3.8,322.0; 5.0,0.0,411.1; 1.0
16,with_org,CPI_diverse,0.559,0.195,0.401,14.0; 7.5,322.0; 5.0,0.0,411.1; 3.0
21,no_org,CPI_all,0.5,0.203,0.097,1.0; 1.0,322.0; 5.0,0.0,410.7; 1.1
20,with_org,CPI_all,0.51,0.203,0.102,4.2; 2.6,322.0; 5.0,0.0,410.7; 3.2
26,no_org,CPI+fingerprint_frequent,0.556,0.232,0.502,48.0; 24.5,430.0; 5.0,0.0,624.4; 1.2
25,with_org,CPI+fingerprint_frequent,0.572,0.241,0.49,65.6; 33.3,430.0; 5.0,0.0,624.4; 3.6
29,no_org,CPI+fingerprint_diverse,0.531,0.179,0.431,9.2; 5.1,430.0; 5.0,0.0,621.0; 1.3
28,with_org,CPI+fingerprint_diverse,0.561,0.175,0.441,17.4; 9.2,430.0; 5.0,0.0,621.0; 4.2
32,no_org,CPI+fingerprint_all,0.502,0.202,0.103,2.0; 1.5,430.0; 5.0,0.0,616.2; 1.4
34,with_org,CPI+fingerprint_all,0.513,0.201,0.108,3.0; 2.0,430.0; 5.0,0.0,616.2; 3.9
