,include_original_features,dataset,averageAUROC,HammingLoss,SubsetAccuracy,RankingLoss,MacroPrecision,MacroRecall,MacroFOne,Nodes; Leaves,#XofN; #Feat/XofN,# Ung. Feats,XofN time (s); PCT tr. time (s)
1,no_org,fingerprint_mid_freq,0.575,0.39,0.213,0.276,0.463,0.348,0.393,169.0; 85.0,108.0; 5.0,0.0,0.0; 0.7
0,with_org,fingerprint_mid_freq,0.565,0.39,0.234,0.275,0.463,0.349,0.394,175.4; 88.2,108.0; 5.0,0.0,0.0; 1.3
5,no_org,fingerprint_low_freq,0.502,0.244,0.374,0.302,0.037,0.007,0.0,4.8; 2.9,108.0; 5.0,0.0,0.0; 0.7
4,with_org,fingerprint_low_freq,0.511,0.254,0.361,0.296,0.114,0.033,0.043,15.4; 8.2,108.0; 5.0,0.0,0.0; 1.3
8,no_org,fingerprint_high_freq,0.554,0.228,0.513,0.165,0.791,0.963,0.868,36.8; 18.9,108.0; 5.0,0.0,0.0; 0.7
11,with_org,fingerprint_high_freq,0.554,0.23,0.507,0.167,0.793,0.955,0.866,51.8; 26.4,108.0; 5.0,0.0,0.0; 1.3
13,no_org,fingerprint_cardiac,0.517,0.26,0.377,0.23,0.118,0.028,0.02,11.8; 6.4,108.0; 5.0,0.0,0.0; 0.7
12,with_org,fingerprint_cardiac,0.557,0.261,0.37,0.227,0.374,0.097,0.115,37.0; 19.0,108.0; 5.0,0.0,0.0; 1.3
17,no_org,CPI_mid_freq,0.596,0.375,0.242,0.276,0.527,0.376,0.432,114.2; 57.6,322.0; 5.0,0.0,0.0; 0.9
16,with_org,CPI_mid_freq,0.606,0.368,0.242,0.274,0.537,0.374,0.435,128.4; 64.7,322.0; 5.0,0.0,0.0; 2.6
22,no_org,CPI_low_freq,0.594,0.267,0.327,0.287,0.472,0.145,0.181,42.8; 21.9,322.0; 5.0,0.0,0.0; 0.9
21,with_org,CPI_low_freq,0.619,0.255,0.334,0.276,0.529,0.192,0.262,48.8; 24.9,322.0; 5.0,0.0,0.0; 2.7
24,no_org,CPI_high_freq,0.516,0.212,0.546,0.163,0.794,0.99,0.88,9.4; 5.2,322.0; 5.0,0.0,0.0; 0.8
27,with_org,CPI_high_freq,0.559,0.215,0.538,0.164,0.795,0.981,0.877,21.8; 11.4,322.0; 5.0,0.0,0.0; 2.6
29,no_org,CPI_cardiac,0.56,0.282,0.344,0.236,0.375,0.143,0.159,46.4; 23.7,322.0; 5.0,0.0,0.0; 0.8
28,with_org,CPI_cardiac,0.576,0.284,0.338,0.236,0.427,0.18,0.228,69.8; 35.4,322.0; 5.0,0.0,0.0; 2.6
34,no_org,CPI+fingerprint_mid_freq,0.597,0.362,0.246,0.271,0.513,0.353,0.415,155.4; 78.2,430.0; 5.0,0.0,0.0; 1.2
35,with_org,CPI+fingerprint_mid_freq,0.601,0.36,0.256,0.263,0.52,0.352,0.417,163.8; 82.4,430.0; 5.0,0.0,0.0; 3.6
37,no_org,CPI+fingerprint_low_freq,0.542,0.247,0.363,0.296,0.458,0.1,0.12,40.0; 20.5,430.0; 5.0,0.0,0.0; 1.2
36,with_org,CPI+fingerprint_low_freq,0.595,0.247,0.351,0.275,0.472,0.184,0.255,72.0; 36.5,430.0; 5.0,0.0,0.0; 3.9
41,no_org,CPI+fingerprint_high_freq,0.584,0.228,0.502,0.161,0.793,0.954,0.865,56.2; 28.6,430.0; 5.0,0.0,0.0; 1.2
40,with_org,CPI+fingerprint_high_freq,0.579,0.235,0.491,0.155,0.791,0.945,0.86,70.8; 35.9,430.0; 5.0,0.0,0.0; 3.6
44,no_org,CPI+fingerprint_cardiac,0.561,0.263,0.376,0.233,0.427,0.12,0.17,64.8; 32.9,430.0; 5.0,0.0,0.0; 1.2
46,with_org,CPI+fingerprint_cardiac,0.591,0.264,0.375,0.222,0.463,0.181,0.255,83.2; 42.1,430.0; 5.0,0.0,0.0; 4.0
