Dataset,XofN_none N/A,XofN Jac-max Ung,XofN Jac-max Org,XofN VarRed Ung,XofN VarRed Org,XofN Vouk Ung,XofN Vouk Org
fingerprint_high_freq,,108.0; 5.0,108.0; 5.0,110.9; 4.9,110.9; 4.9,78.1; 3.1,78.1; 3.1
fingerprint_mid_freq,,108.0; 5.0,108.0; 5.0,110.1; 4.9,110.1; 4.9,78.7; 2.8,78.7; 2.8
fingerprint_low_freq,,108.0; 5.0,108.0; 5.0,112.0; 4.8,112.0; 4.8,141.9; 3.5,141.9; 3.5
fingerprint_cardiac,,108.0; 5.0,108.0; 5.0,111.0; 4.8,111.0; 4.8,78.0; 3.7,78.0; 3.7
fingerprint_ten,,108.0; 5.0,108.0; 5.0,109.8; 4.9,109.8; 4.9,108.9; 2.3,108.9; 2.3
fingerprint_ten_mid,,108.0; 5.0,108.0; 5.0,110.8; 4.9,110.8; 4.9,152.9; 2.9,152.9; 2.9
CPI_high_freq,,322.0; 5.0,322.0; 5.0,343.6; 4.6,343.6; 4.6,87.9; 3.2,87.9; 3.2
CPI_mid_freq,,322.0; 5.0,322.0; 5.0,335.6; 4.7,335.6; 4.7,140.2; 2.3,140.2; 2.3
CPI_low_freq,,322.0; 5.0,322.0; 5.0,331.2; 4.8,331.2; 4.8,393.1; 2.9,393.1; 2.9
CPI_cardiac,,322.0; 5.0,322.0; 5.0,355.6; 4.4,355.6; 4.4,385.2; 2.8,385.2; 2.8
CPI_ten,,322.0; 5.0,322.0; 5.0,331.6; 4.8,331.6; 4.8,253.7; 3.4,253.7; 3.4
CPI_ten_mid,,322.0; 5.0,322.0; 5.0,329.6; 4.8,329.6; 4.8,292.6; 2.5,292.6; 2.5
CPI+fingerprint_high_freq,,430.0; 5.0,430.0; 5.0,455.8; 4.7,455.8; 4.7,72.5; 3.4,72.5; 3.4
CPI+fingerprint_mid_freq,,430.0; 5.0,430.0; 5.0,448.3; 4.7,448.3; 4.7,126.0; 2.9,126.0; 2.9
CPI+fingerprint_low_freq,,430.0; 5.0,430.0; 5.0,439.4; 4.9,439.4; 4.9,208.5; 3.1,208.5; 3.1
CPI+fingerprint_cardiac,,430.0; 5.0,430.0; 5.0,468.7; 4.5,468.7; 4.5,151.4; 3.2,151.4; 3.2
CPI+fingerprint_ten,,430.0; 5.0,430.0; 5.0,442.5; 4.8,442.5; 4.8,124.8; 2.7,124.8; 2.7
CPI+fingerprint_ten_mid,,430.0; 5.0,430.0; 5.0,438.4; 4.8,438.4; 4.8,176.2; 2.9,176.2; 2.9
