Dataset,XofN_none N/A,XofN Jac-max Ung,XofN Jac-max Org,XofN Vouk Ung,XofN Vouk Org
fingerprint_high_freq,0.227,0.229,0.235,0.23,0.233
fingerprint_mid_freq,0.386,0.368,0.379,0.392,0.391
fingerprint_low_freq,0.246,0.243,0.247,0.254,0.256
fingerprint_cardiac,0.256,0.256,0.27,0.274,0.271
fingerprint_ten,0.398,0.41,0.406,0.412,0.407
fingerprint_ten_mid,0.35,0.354,0.368,0.359,0.369
CPI_high_freq,0.216,0.216,0.218,0.218,0.223
CPI_mid_freq,0.385,0.367,0.379,0.377,0.387
CPI_low_freq,0.263,0.26,0.262,0.267,0.265
CPI_cardiac,0.283,0.275,0.273,0.282,0.286
CPI_ten,0.387,0.397,0.392,0.391,0.403
CPI_ten_mid,0.355,0.352,0.358,0.355,0.359
CPI+fingerprint_high_freq,0.239,0.23,0.237,0.229,0.233
CPI+fingerprint_mid_freq,0.356,0.361,0.36,0.355,0.366
CPI+fingerprint_low_freq,0.241,0.25,0.246,0.251,0.25
CPI+fingerprint_cardiac,0.263,0.269,0.273,0.272,0.266
CPI+fingerprint_ten,0.409,0.401,0.4,0.401,0.403
CPI+fingerprint_ten_mid,0.344,0.346,0.347,0.339,0.341
Avg Rank,2.36,2.28,3.08,3.19,4.08
Wins,7.0,6.0,2.0,3.0,0.0
