Dataset,XofN_none N/A,XofN VarRed Ung,XofN VarRed Org,XofN Vouk Ung,XofN Vouk Org
fingerprint_high_freq,0.227,0.223,0.229,0.23,0.233
fingerprint_mid_freq,0.386,0.371,0.373,0.392,0.391
fingerprint_low_freq,0.246,0.25,0.25,0.254,0.256
fingerprint_cardiac,0.256,0.272,0.276,0.274,0.271
fingerprint_ten,0.398,0.42,0.42,0.412,0.407
fingerprint_ten_mid,0.35,0.366,0.36,0.359,0.369
CPI_high_freq,0.216,0.22,0.228,0.218,0.223
CPI_mid_freq,0.385,0.371,0.373,0.377,0.387
CPI_low_freq,0.263,0.265,0.266,0.267,0.265
CPI_cardiac,0.283,0.279,0.272,0.282,0.286
CPI_ten,0.387,0.391,0.398,0.391,0.403
CPI_ten_mid,0.355,0.354,0.351,0.355,0.359
CPI+fingerprint_high_freq,0.239,0.249,0.245,0.229,0.233
CPI+fingerprint_mid_freq,0.356,0.365,0.353,0.355,0.366
CPI+fingerprint_low_freq,0.241,0.248,0.245,0.251,0.25
CPI+fingerprint_cardiac,0.263,0.27,0.272,0.272,0.266
CPI+fingerprint_ten,0.409,0.399,0.397,0.401,0.403
CPI+fingerprint_ten_mid,0.344,0.338,0.343,0.339,0.341
Avg Rank,2.31,2.61,2.97,3.25,3.86
Wins,9.0,4.0,4.0,1.0,0.0
