Dataset,XofN_none N/A,XofN Jac-max Org,XofN Vouk Org
fingerprint_high_freq,0.517,0.551,0.565
fingerprint_mid_freq,0.574,0.588,0.58
fingerprint_low_freq,0.511,0.515,0.587
fingerprint_cardiac,0.517,0.547,0.555
fingerprint_ten,0.607,0.601,0.597
fingerprint_ten_mid,0.58,0.575,0.57
CPI_high_freq,0.55,0.599,0.595
CPI_mid_freq,0.583,0.594,0.574
CPI_low_freq,0.594,0.613,0.598
CPI_cardiac,0.561,0.592,0.564
CPI_ten,0.616,0.622,0.599
CPI_ten_mid,0.571,0.593,0.577
CPI+fingerprint_high_freq,0.57,0.601,0.585
CPI+fingerprint_mid_freq,0.597,0.597,0.597
CPI+fingerprint_low_freq,0.591,0.599,0.588
CPI+fingerprint_cardiac,0.588,0.584,0.587
CPI+fingerprint_ten,0.608,0.613,0.606
CPI+fingerprint_ten_mid,0.598,0.59,0.593
Avg Rank,2.28,1.56,2.17
Wins,4.333333333333334,10.33333333333333,3.333333333333333
