Dataset,XofN_none N/A,XofN Jac-max Org,XofN Vouk Org
fingerprint_high_freq,0.87,0.863,0.863
fingerprint_mid_freq,0.415,0.405,0.413
fingerprint_low_freq,0.02,0.016,0.208
fingerprint_cardiac,0.016,0.093,0.215
fingerprint_ten,0.599,0.587,0.58
fingerprint_ten_mid,0.323,0.329,0.314
CPI_high_freq,0.877,0.875,0.872
CPI_mid_freq,0.428,0.433,0.421
CPI_low_freq,0.187,0.245,0.279
CPI_cardiac,0.204,0.251,0.171
CPI_ten,0.604,0.606,0.583
CPI_ten_mid,0.352,0.383,0.362
CPI+fingerprint_high_freq,0.858,0.859,0.86
CPI+fingerprint_mid_freq,0.405,0.423,0.429
CPI+fingerprint_low_freq,0.241,0.199,0.24
CPI+fingerprint_cardiac,0.237,0.253,0.26
CPI+fingerprint_ten,0.569,0.585,0.575
CPI+fingerprint_ten_mid,0.354,0.347,0.349
Avg Rank,2.06,1.92,2.03
Wins,6.0,6.0,6.0
