Dataset,XofN_none N/A,XofN Jac-max Ung,XofN Jac-max Org,XofN Vouk Ung,XofN Vouk Org
fingerprint_high_freq,0.87,0.866,0.863,0.866,0.863
fingerprint_mid_freq,0.415,0.404,0.405,0.373,0.413
fingerprint_low_freq,0.02,0.0,0.016,0.194,0.208
fingerprint_cardiac,0.016,0.056,0.093,0.171,0.215
fingerprint_ten,0.599,0.582,0.587,0.583,0.58
fingerprint_ten_mid,0.323,0.331,0.329,0.308,0.314
CPI_high_freq,0.877,0.876,0.875,0.875,0.872
CPI_mid_freq,0.428,0.436,0.433,0.397,0.421
CPI_low_freq,0.187,0.192,0.245,0.229,0.279
CPI_cardiac,0.204,0.249,0.251,0.172,0.171
CPI_ten,0.604,0.605,0.606,0.601,0.583
CPI_ten_mid,0.352,0.32,0.383,0.346,0.362
CPI+fingerprint_high_freq,0.858,0.864,0.859,0.864,0.86
CPI+fingerprint_mid_freq,0.405,0.428,0.423,0.429,0.429
CPI+fingerprint_low_freq,0.241,0.23,0.199,0.228,0.24
CPI+fingerprint_cardiac,0.237,0.223,0.253,0.231,0.26
CPI+fingerprint_ten,0.569,0.574,0.585,0.579,0.575
CPI+fingerprint_ten_mid,0.354,0.34,0.347,0.357,0.349
Avg Rank,2.94,3.22,2.72,3.17,2.94
Wins,5.0,2.5,4.0,2.0,4.5
