Dataset,XofN_none N/A,XofN VarRed Org,XofN Vouk Org
fingerprint_high_freq,0.87,0.865,0.863
fingerprint_mid_freq,0.415,0.435,0.413
fingerprint_low_freq,0.02,0.054,0.208
fingerprint_cardiac,0.016,0.135,0.215
fingerprint_ten,0.599,0.578,0.58
fingerprint_ten_mid,0.323,0.321,0.314
CPI_high_freq,0.877,0.868,0.872
CPI_mid_freq,0.428,0.455,0.421
CPI_low_freq,0.187,0.263,0.279
CPI_cardiac,0.204,0.266,0.171
CPI_ten,0.604,0.597,0.583
CPI_ten_mid,0.352,0.386,0.362
CPI+fingerprint_high_freq,0.858,0.852,0.86
CPI+fingerprint_mid_freq,0.405,0.452,0.429
CPI+fingerprint_low_freq,0.241,0.29,0.24
CPI+fingerprint_cardiac,0.237,0.27,0.26
CPI+fingerprint_ten,0.569,0.594,0.575
CPI+fingerprint_ten_mid,0.354,0.36,0.349
Avg Rank,2.11,1.67,2.22
Wins,5.0,9.0,4.0
