Dataset,XofN_none N/A,XofN VarRed Ung,XofN Vouk Ung
fingerprint_high_freq,0.87,0.869,0.866
fingerprint_mid_freq,0.415,0.431,0.373
fingerprint_low_freq,0.02,0.076,0.194
fingerprint_cardiac,0.016,0.139,0.171
fingerprint_ten,0.599,0.575,0.583
fingerprint_ten_mid,0.323,0.299,0.308
CPI_high_freq,0.877,0.873,0.875
CPI_mid_freq,0.428,0.447,0.397
CPI_low_freq,0.187,0.261,0.229
CPI_cardiac,0.204,0.204,0.172
CPI_ten,0.604,0.608,0.601
CPI_ten_mid,0.352,0.361,0.346
CPI+fingerprint_high_freq,0.858,0.85,0.864
CPI+fingerprint_mid_freq,0.405,0.436,0.429
CPI+fingerprint_low_freq,0.241,0.271,0.228
CPI+fingerprint_cardiac,0.237,0.28,0.231
CPI+fingerprint_ten,0.569,0.582,0.579
CPI+fingerprint_ten_mid,0.354,0.349,0.357
Avg Rank,2.03,1.75,2.22
Wins,4.5,9.5,4.0
