Dataset,XofN_none N/A,XofN VarRed Ung,XofN VarRed Org,XofN Vouk Ung,XofN Vouk Org
fingerprint_high_freq,0.87,0.869,0.865,0.866,0.863
fingerprint_mid_freq,0.415,0.431,0.435,0.373,0.413
fingerprint_low_freq,0.02,0.076,0.054,0.194,0.208
fingerprint_cardiac,0.016,0.139,0.135,0.171,0.215
fingerprint_ten,0.599,0.575,0.578,0.583,0.58
fingerprint_ten_mid,0.323,0.299,0.321,0.308,0.314
CPI_high_freq,0.877,0.873,0.868,0.875,0.872
CPI_mid_freq,0.428,0.447,0.455,0.397,0.421
CPI_low_freq,0.187,0.261,0.263,0.229,0.279
CPI_cardiac,0.204,0.204,0.266,0.172,0.171
CPI_ten,0.604,0.608,0.597,0.601,0.583
CPI_ten_mid,0.352,0.361,0.386,0.346,0.362
CPI+fingerprint_high_freq,0.858,0.85,0.852,0.864,0.86
CPI+fingerprint_mid_freq,0.405,0.436,0.452,0.429,0.429
CPI+fingerprint_low_freq,0.241,0.271,0.29,0.228,0.24
CPI+fingerprint_cardiac,0.237,0.28,0.27,0.231,0.26
CPI+fingerprint_ten,0.569,0.582,0.594,0.579,0.575
CPI+fingerprint_ten_mid,0.354,0.349,0.36,0.357,0.349
Avg Rank,3.14,2.83,2.39,3.36,3.28
Wins,4.0,2.0,8.0,1.0,3.0
