Dataset,XofN_none N/A,XofN Jac-max Org,XofN Vouk Org
fingerprint_high_freq,0.782,0.791,0.793
fingerprint_mid_freq,0.474,0.483,0.465
fingerprint_low_freq,0.077,0.056,0.452
fingerprint_cardiac,0.038,0.281,0.423
fingerprint_ten,0.593,0.589,0.589
fingerprint_ten_mid,0.504,0.454,0.449
CPI_high_freq,0.794,0.797,0.795
CPI_mid_freq,0.511,0.519,0.509
CPI_low_freq,0.422,0.5,0.488
CPI_cardiac,0.424,0.48,0.41
CPI_ten,0.623,0.615,0.612
CPI_ten_mid,0.532,0.501,0.516
CPI+fingerprint_high_freq,0.789,0.791,0.795
CPI+fingerprint_mid_freq,0.528,0.513,0.505
CPI+fingerprint_low_freq,0.516,0.456,0.463
CPI+fingerprint_cardiac,0.451,0.418,0.447
CPI+fingerprint_ten,0.587,0.594,0.593
CPI+fingerprint_ten_mid,0.504,0.501,0.515
Avg Rank,1.94,1.97,2.08
Wins,7.0,6.0,5.0
