Dataset,XofN_none N/A,XofN Jac-max Ung,XofN Vouk Ung
fingerprint_high_freq,0.782,0.793,0.794
fingerprint_mid_freq,0.474,0.499,0.458
fingerprint_low_freq,0.077,0.0,0.385
fingerprint_cardiac,0.038,0.224,0.391
fingerprint_ten,0.593,0.584,0.582
fingerprint_ten_mid,0.504,0.483,0.473
CPI_high_freq,0.794,0.795,0.794
CPI_mid_freq,0.511,0.544,0.527
CPI_low_freq,0.422,0.51,0.472
CPI_cardiac,0.424,0.478,0.431
CPI_ten,0.623,0.611,0.621
CPI_ten_mid,0.532,0.515,0.524
CPI+fingerprint_high_freq,0.789,0.793,0.795
CPI+fingerprint_mid_freq,0.528,0.512,0.528
CPI+fingerprint_low_freq,0.516,0.451,0.461
CPI+fingerprint_cardiac,0.451,0.43,0.406
CPI+fingerprint_ten,0.587,0.597,0.595
CPI+fingerprint_ten_mid,0.504,0.505,0.522
Avg Rank,2.11,1.94,1.94
Wins,6.5,6.0,5.5
