Dataset,XofN_none N/A,XofN Jac-max Ung,XofN Jac-max Org,XofN Vouk Ung,XofN Vouk Org
fingerprint_high_freq,0.782,0.793,0.791,0.794,0.793
fingerprint_mid_freq,0.474,0.499,0.483,0.458,0.465
fingerprint_low_freq,0.077,0.0,0.056,0.385,0.452
fingerprint_cardiac,0.038,0.224,0.281,0.391,0.423
fingerprint_ten,0.593,0.584,0.589,0.582,0.589
fingerprint_ten_mid,0.504,0.483,0.454,0.473,0.449
CPI_high_freq,0.794,0.795,0.797,0.794,0.795
CPI_mid_freq,0.511,0.544,0.519,0.527,0.509
CPI_low_freq,0.422,0.51,0.5,0.472,0.488
CPI_cardiac,0.424,0.478,0.48,0.431,0.41
CPI_ten,0.623,0.611,0.615,0.621,0.612
CPI_ten_mid,0.532,0.515,0.501,0.524,0.516
CPI+fingerprint_high_freq,0.789,0.793,0.791,0.795,0.795
CPI+fingerprint_mid_freq,0.528,0.512,0.513,0.528,0.505
CPI+fingerprint_low_freq,0.516,0.451,0.456,0.461,0.463
CPI+fingerprint_cardiac,0.451,0.43,0.418,0.406,0.447
CPI+fingerprint_ten,0.587,0.597,0.594,0.595,0.593
CPI+fingerprint_ten_mid,0.504,0.505,0.501,0.522,0.515
Avg Rank,3.06,2.94,3.19,2.75,3.06
Wins,6.5,4.0,2.0,3.0,2.5
