Dataset,XofN_none N/A,XofN VarRed Ung,XofN Vouk Ung
fingerprint_high_freq,0.782,0.799,0.794
fingerprint_mid_freq,0.474,0.498,0.458
fingerprint_low_freq,0.077,0.348,0.385
fingerprint_cardiac,0.038,0.389,0.391
fingerprint_ten,0.593,0.572,0.582
fingerprint_ten_mid,0.504,0.453,0.473
CPI_high_freq,0.794,0.799,0.794
CPI_mid_freq,0.511,0.532,0.527
CPI_low_freq,0.422,0.485,0.472
CPI_cardiac,0.424,0.459,0.431
CPI_ten,0.623,0.623,0.621
CPI_ten_mid,0.532,0.532,0.524
CPI+fingerprint_high_freq,0.789,0.79,0.795
CPI+fingerprint_mid_freq,0.528,0.508,0.528
CPI+fingerprint_low_freq,0.516,0.471,0.461
CPI+fingerprint_cardiac,0.451,0.438,0.406
CPI+fingerprint_ten,0.587,0.595,0.595
CPI+fingerprint_ten_mid,0.504,0.525,0.522
Avg Rank,2.22,1.69,2.08
Wins,5.5,8.5,4.0
