Dataset,XofN_none N/A,XofN Jac-max Ung,XofN Jac-max Org,XofN Vouk Ung,XofN Vouk Org
fingerprint_high_freq,0.983,0.957,0.951,0.953,0.948
fingerprint_mid_freq,0.373,0.343,0.353,0.321,0.375
fingerprint_low_freq,0.017,0.0,0.013,0.135,0.153
fingerprint_cardiac,0.015,0.059,0.095,0.132,0.15
fingerprint_ten,0.61,0.585,0.589,0.591,0.577
fingerprint_ten_mid,0.248,0.259,0.267,0.234,0.252
CPI_high_freq,0.981,0.978,0.971,0.978,0.968
CPI_mid_freq,0.376,0.37,0.38,0.327,0.367
CPI_low_freq,0.147,0.148,0.17,0.189,0.201
CPI_cardiac,0.156,0.177,0.176,0.138,0.135
CPI_ten,0.604,0.612,0.609,0.602,0.574
CPI_ten_mid,0.274,0.271,0.32,0.266,0.289
CPI+fingerprint_high_freq,0.944,0.95,0.941,0.948,0.939
CPI+fingerprint_mid_freq,0.336,0.372,0.364,0.368,0.377
CPI+fingerprint_low_freq,0.164,0.161,0.163,0.16,0.171
CPI+fingerprint_cardiac,0.167,0.176,0.187,0.167,0.189
CPI+fingerprint_ten,0.558,0.559,0.582,0.573,0.562
CPI+fingerprint_ten_mid,0.28,0.263,0.272,0.279,0.27
Avg Rank,2.97,3.08,2.67,3.33,2.94
Wins,4.0,3.0,4.0,0.0,7.0
