Dataset,XofN_none N/A,XofN VarRed Org,XofN Vouk Org
fingerprint_high_freq,0.983,0.947,0.948
fingerprint_mid_freq,0.373,0.394,0.375
fingerprint_low_freq,0.017,0.071,0.153
fingerprint_cardiac,0.015,0.118,0.15
fingerprint_ten,0.61,0.587,0.577
fingerprint_ten_mid,0.248,0.251,0.252
CPI_high_freq,0.981,0.956,0.968
CPI_mid_freq,0.376,0.408,0.367
CPI_low_freq,0.147,0.189,0.201
CPI_cardiac,0.156,0.192,0.135
CPI_ten,0.604,0.587,0.574
CPI_ten_mid,0.274,0.313,0.289
CPI+fingerprint_high_freq,0.944,0.92,0.939
CPI+fingerprint_mid_freq,0.336,0.403,0.377
CPI+fingerprint_low_freq,0.164,0.215,0.171
CPI+fingerprint_cardiac,0.167,0.201,0.189
CPI+fingerprint_ten,0.558,0.598,0.562
CPI+fingerprint_ten_mid,0.28,0.286,0.27
Avg Rank,2.28,1.67,2.06
Wins,5.0,9.0,4.0
