Dataset,XofN_none N/A,XofN VarRed Ung,XofN VarRed Org,XofN Vouk Ung,XofN Vouk Org
fingerprint_high_freq,0.983,0.956,0.947,0.953,0.948
fingerprint_mid_freq,0.373,0.386,0.394,0.321,0.375
fingerprint_low_freq,0.017,0.07,0.071,0.135,0.153
fingerprint_cardiac,0.015,0.132,0.118,0.132,0.15
fingerprint_ten,0.61,0.584,0.587,0.591,0.577
fingerprint_ten_mid,0.248,0.233,0.251,0.234,0.252
CPI_high_freq,0.981,0.964,0.956,0.978,0.968
CPI_mid_freq,0.376,0.391,0.408,0.327,0.367
CPI_low_freq,0.147,0.186,0.189,0.189,0.201
CPI_cardiac,0.156,0.171,0.192,0.138,0.135
CPI_ten,0.604,0.604,0.587,0.602,0.574
CPI_ten_mid,0.274,0.286,0.313,0.266,0.289
CPI+fingerprint_high_freq,0.944,0.921,0.92,0.948,0.939
CPI+fingerprint_mid_freq,0.336,0.389,0.403,0.368,0.377
CPI+fingerprint_low_freq,0.164,0.197,0.215,0.16,0.171
CPI+fingerprint_cardiac,0.167,0.21,0.201,0.167,0.189
CPI+fingerprint_ten,0.558,0.575,0.598,0.573,0.562
CPI+fingerprint_ten_mid,0.28,0.267,0.286,0.279,0.27
Avg Rank,3.28,2.89,2.42,3.36,3.06
Wins,3.5,1.5,8.0,1.0,4.0
