Dataset,XofN_none N/A,XofN Jac-max Ung,XofN Jac-max Org,XofN VarRed Ung,XofN VarRed Org,XofN Vouk Ung,XofN Vouk Org
fingerprint_high_freq,18.8; 9.9,43.8; 22.4,46.4; 23.7,42.4; 21.7,48.0; 24.5,35.8; 18.4,45.0; 23.0
fingerprint_mid_freq,161.0; 81.0,158.0; 79.5,164.0; 82.5,145.2; 73.1,152.2; 76.6,133.6; 67.3,172.8; 86.9
fingerprint_low_freq,8.8; 4.9,1.0; 1.0,7.6; 4.3,27.6; 14.3,27.2; 14.1,50.0; 25.5,63.0; 32.0
fingerprint_cardiac,8.6; 4.8,18.6; 9.8,35.4; 18.2,52.2; 26.6,55.8; 28.4,46.6; 23.8,54.4; 27.7
fingerprint_ten,151.6; 76.3,160.6; 80.8,154.4; 77.7,149.4; 75.2,158.4; 79.7,136.4; 68.7,163.4; 82.2
fingerprint_ten_mid,85.6; 43.3,98.4; 49.7,109.6; 55.3,89.4; 45.2,95.6; 48.3,80.4; 40.7,102.8; 51.9
CPI_high_freq,22.4; 11.7,17.0; 9.0,29.6; 15.3,28.6; 14.8,33.8; 17.4,14.2; 7.6,32.0; 16.5
CPI_mid_freq,127.8; 64.4,108.8; 54.9,132.8; 66.9,95.0; 48.0,112.4; 56.7,77.8; 39.4,119.8; 60.4
CPI_low_freq,49.4; 25.2,53.2; 27.1,57.2; 29.1,42.4; 21.7,49.0; 25.0,53.8; 27.4,60.4; 30.7
CPI_cardiac,52.0; 26.5,55.4; 28.2,64.4; 32.7,46.0; 23.5,57.4; 29.2,46.2; 23.6,53.0; 27.0
CPI_ten,108.0; 54.5,95.4; 48.2,103.4; 52.2,88.6; 44.8,102.0; 51.5,61.4; 31.2,94.6; 47.8
CPI_ten_mid,68.8; 34.9,71.0; 36.0,88.0; 44.5,61.0; 31.0,78.4; 39.7,57.6; 29.3,75.2; 38.1
CPI+fingerprint_high_freq,61.2; 31.1,65.8; 33.4,76.8; 38.9,64.2; 32.6,72.4; 36.7,41.4; 21.2,62.4; 31.7
CPI+fingerprint_mid_freq,160.8; 80.9,150.6; 75.8,161.0; 81.0,134.4; 67.7,157.6; 79.3,135.6; 68.3,170.2; 85.6
CPI+fingerprint_low_freq,60.0; 30.5,61.4; 31.2,68.6; 34.8,58.8; 29.9,61.0; 31.0,59.8; 30.4,69.6; 35.3
CPI+fingerprint_cardiac,75.4; 38.2,77.8; 39.4,85.2; 43.1,69.2; 35.1,77.4; 39.2,67.0; 34.0,85.0; 43.0
CPI+fingerprint_ten,171.8; 86.4,168.2; 84.6,175.2; 88.1,142.8; 71.9,166.8; 83.9,139.2; 70.1,170.6; 85.8
CPI+fingerprint_ten_mid,102.4; 51.7,91.6; 46.3,109.0; 55.0,82.2; 41.6,96.2; 48.6,93.2; 47.1,106.6; 53.8
