Dataset,XofN_none N/A,XofN Jac-max Org,XofN Vouk Org
fingerprint_high_freq,0.164,0.16,0.162
fingerprint_mid_freq,0.258,0.258,0.258
fingerprint_low_freq,0.302,0.298,0.271
fingerprint_cardiac,0.231,0.23,0.224
fingerprint_ten,0.287,0.293,0.29
fingerprint_ten_mid,0.35,0.342,0.354
CPI_high_freq,0.162,0.164,0.164
CPI_mid_freq,0.264,0.265,0.264
CPI_low_freq,0.294,0.287,0.281
CPI_cardiac,0.244,0.231,0.246
CPI_ten,0.264,0.272,0.281
CPI_ten_mid,0.372,0.368,0.365
CPI+fingerprint_high_freq,0.153,0.157,0.155
CPI+fingerprint_mid_freq,0.256,0.263,0.257
CPI+fingerprint_low_freq,0.287,0.275,0.278
CPI+fingerprint_cardiac,0.226,0.225,0.229
CPI+fingerprint_ten,0.284,0.284,0.288
CPI+fingerprint_ten_mid,0.343,0.348,0.35
Avg Rank,1.94,1.94,2.11
Wins,7.333333333333333,5.833333333333333,4.833333333333333
