Dataset,XofN_none N/A,XofN Jac-max Ung,XofN Vouk Ung
fingerprint_high_freq,0.164,0.16,0.161
fingerprint_mid_freq,0.258,0.258,0.27
fingerprint_low_freq,0.302,0.302,0.277
fingerprint_cardiac,0.231,0.223,0.222
fingerprint_ten,0.287,0.292,0.295
fingerprint_ten_mid,0.35,0.343,0.352
CPI_high_freq,0.162,0.162,0.164
CPI_mid_freq,0.264,0.267,0.269
CPI_low_freq,0.294,0.293,0.28
CPI_cardiac,0.244,0.231,0.244
CPI_ten,0.264,0.276,0.277
CPI_ten_mid,0.372,0.372,0.375
CPI+fingerprint_high_freq,0.153,0.162,0.153
CPI+fingerprint_mid_freq,0.256,0.255,0.256
CPI+fingerprint_low_freq,0.287,0.28,0.281
CPI+fingerprint_cardiac,0.226,0.222,0.231
CPI+fingerprint_ten,0.284,0.276,0.29
CPI+fingerprint_ten_mid,0.343,0.354,0.345
Avg Rank,1.97,1.67,2.36
Wins,6.0,8.5,3.5
