Dataset,XofN_none N/A,XofN Jac-max Ung,XofN VarRed Ung,XofN Vouk Ung
fingerprint_high_freq,0.164,0.16,0.163,0.161
fingerprint_mid_freq,0.258,0.258,0.256,0.27
fingerprint_low_freq,0.302,0.302,0.291,0.277
fingerprint_cardiac,0.231,0.223,0.229,0.222
fingerprint_ten,0.287,0.292,0.295,0.295
fingerprint_ten_mid,0.35,0.343,0.353,0.352
CPI_high_freq,0.162,0.162,0.158,0.164
CPI_mid_freq,0.264,0.267,0.266,0.269
CPI_low_freq,0.294,0.293,0.285,0.28
CPI_cardiac,0.244,0.231,0.239,0.244
CPI_ten,0.264,0.276,0.274,0.277
CPI_ten_mid,0.372,0.372,0.366,0.375
CPI+fingerprint_high_freq,0.153,0.162,0.158,0.153
CPI+fingerprint_mid_freq,0.256,0.255,0.26,0.256
CPI+fingerprint_low_freq,0.287,0.28,0.269,0.281
CPI+fingerprint_cardiac,0.226,0.222,0.229,0.231
CPI+fingerprint_ten,0.284,0.276,0.283,0.29
CPI+fingerprint_ten_mid,0.343,0.354,0.346,0.345
Avg Rank,2.53,2.22,2.36,2.89
Wins,4.5,6.0,4.0,3.5
