Dataset,XofN_none N/A,XofN Jac-max Ung,XofN Jac-max Org,XofN VarRed Ung,XofN VarRed Org,XofN Vouk Ung,XofN Vouk Org
fingerprint_high_freq,0.164,0.16,0.16,0.163,0.164,0.161,0.162
fingerprint_mid_freq,0.258,0.258,0.258,0.256,0.257,0.27,0.258
fingerprint_low_freq,0.302,0.302,0.298,0.291,0.292,0.277,0.271
fingerprint_cardiac,0.231,0.223,0.23,0.229,0.226,0.222,0.224
fingerprint_ten,0.287,0.292,0.293,0.295,0.288,0.295,0.29
fingerprint_ten_mid,0.35,0.343,0.342,0.353,0.341,0.352,0.354
CPI_high_freq,0.162,0.162,0.164,0.158,0.159,0.164,0.164
CPI_mid_freq,0.264,0.267,0.265,0.266,0.277,0.269,0.264
CPI_low_freq,0.294,0.293,0.287,0.285,0.281,0.28,0.281
CPI_cardiac,0.244,0.231,0.231,0.239,0.243,0.244,0.246
CPI_ten,0.264,0.276,0.272,0.274,0.275,0.277,0.281
CPI_ten_mid,0.372,0.372,0.368,0.366,0.361,0.375,0.365
CPI+fingerprint_high_freq,0.153,0.162,0.157,0.158,0.162,0.153,0.155
CPI+fingerprint_mid_freq,0.256,0.255,0.263,0.26,0.262,0.256,0.257
CPI+fingerprint_low_freq,0.287,0.28,0.275,0.269,0.269,0.281,0.278
CPI+fingerprint_cardiac,0.226,0.222,0.225,0.229,0.23,0.231,0.229
CPI+fingerprint_ten,0.284,0.276,0.284,0.283,0.282,0.29,0.288
CPI+fingerprint_ten_mid,0.343,0.354,0.348,0.346,0.346,0.345,0.35
Avg Rank,4.06,3.86,3.94,3.72,3.64,4.56,4.22
Wins,4.0,4.0,1.0,2.5,2.5,2.5,1.5
