Dataset,XofN_none N/A,XofN Jac-max Org,XofN Vouk Org
fingerprint_high_freq,0.519,0.499,0.498
fingerprint_mid_freq,0.231,0.233,0.215
fingerprint_low_freq,0.371,0.37,0.345
fingerprint_cardiac,0.383,0.363,0.355
fingerprint_ten,0.06,0.054,0.073
fingerprint_ten_mid,0.11,0.103,0.111
CPI_high_freq,0.535,0.534,0.528
CPI_mid_freq,0.241,0.237,0.236
CPI_low_freq,0.33,0.332,0.318
CPI_cardiac,0.341,0.345,0.341
CPI_ten,0.055,0.056,0.061
CPI_ten_mid,0.107,0.108,0.109
CPI+fingerprint_high_freq,0.492,0.49,0.493
CPI+fingerprint_mid_freq,0.266,0.266,0.251
CPI+fingerprint_low_freq,0.357,0.363,0.347
CPI+fingerprint_cardiac,0.37,0.361,0.371
CPI+fingerprint_ten,0.065,0.075,0.073
CPI+fingerprint_ten_mid,0.131,0.128,0.127
Avg Rank,1.83,1.92,2.25
Wins,6.5,5.5,6.0
