Dataset,XofN_none N/A,XofN Jac-max Ung,XofN Vouk Ung
fingerprint_high_freq,0.519,0.498,0.505
fingerprint_mid_freq,0.231,0.237,0.225
fingerprint_low_freq,0.371,0.374,0.349
fingerprint_cardiac,0.383,0.379,0.348
fingerprint_ten,0.06,0.073,0.056
fingerprint_ten_mid,0.11,0.117,0.116
CPI_high_freq,0.535,0.537,0.534
CPI_mid_freq,0.241,0.244,0.249
CPI_low_freq,0.33,0.331,0.312
CPI_cardiac,0.341,0.346,0.343
CPI_ten,0.055,0.067,0.06
CPI_ten_mid,0.107,0.116,0.112
CPI+fingerprint_high_freq,0.492,0.493,0.495
CPI+fingerprint_mid_freq,0.266,0.26,0.257
CPI+fingerprint_low_freq,0.357,0.357,0.35
CPI+fingerprint_cardiac,0.37,0.357,0.364
CPI+fingerprint_ten,0.065,0.065,0.061
CPI+fingerprint_ten_mid,0.131,0.127,0.125
Avg Rank,2.0,1.56,2.44
Wins,6.0,10.0,2.0
