Dataset,XofN_none N/A,XofN Jac-max Ung,XofN Jac-max Org,XofN Vouk Ung,XofN Vouk Org
fingerprint_high_freq,0.519,0.498,0.499,0.505,0.498
fingerprint_mid_freq,0.231,0.237,0.233,0.225,0.215
fingerprint_low_freq,0.371,0.374,0.37,0.349,0.345
fingerprint_cardiac,0.383,0.379,0.363,0.348,0.355
fingerprint_ten,0.06,0.073,0.054,0.056,0.073
fingerprint_ten_mid,0.11,0.117,0.103,0.116,0.111
CPI_high_freq,0.535,0.537,0.534,0.534,0.528
CPI_mid_freq,0.241,0.244,0.237,0.249,0.236
CPI_low_freq,0.33,0.331,0.332,0.312,0.318
CPI_cardiac,0.341,0.346,0.345,0.343,0.341
CPI_ten,0.055,0.067,0.056,0.06,0.061
CPI_ten_mid,0.107,0.116,0.108,0.112,0.109
CPI+fingerprint_high_freq,0.492,0.493,0.49,0.495,0.493
CPI+fingerprint_mid_freq,0.266,0.26,0.266,0.257,0.251
CPI+fingerprint_low_freq,0.357,0.357,0.363,0.35,0.347
CPI+fingerprint_cardiac,0.37,0.357,0.361,0.364,0.371
CPI+fingerprint_ten,0.065,0.065,0.075,0.061,0.073
CPI+fingerprint_ten_mid,0.131,0.127,0.128,0.125,0.127
Avg Rank,2.83,2.17,3.0,3.36,3.64
Wins,3.5,7.5,3.5,2.0,1.5
