Dataset,XofN_none N/A,XofN VarRed Ung,XofN VarRed Org,XofN Vouk Ung,XofN Vouk Org
fingerprint_high_freq,0.519,0.505,0.504,0.505,0.498
fingerprint_mid_freq,0.231,0.237,0.231,0.225,0.215
fingerprint_low_freq,0.371,0.364,0.363,0.349,0.345
fingerprint_cardiac,0.383,0.365,0.356,0.348,0.355
fingerprint_ten,0.06,0.064,0.063,0.056,0.073
fingerprint_ten_mid,0.11,0.124,0.114,0.116,0.111
CPI_high_freq,0.535,0.529,0.517,0.534,0.528
CPI_mid_freq,0.241,0.237,0.237,0.249,0.236
CPI_low_freq,0.33,0.337,0.329,0.312,0.318
CPI_cardiac,0.341,0.344,0.346,0.343,0.341
CPI_ten,0.055,0.081,0.07,0.06,0.061
CPI_ten_mid,0.107,0.118,0.116,0.112,0.109
CPI+fingerprint_high_freq,0.492,0.482,0.479,0.495,0.493
CPI+fingerprint_mid_freq,0.266,0.255,0.268,0.257,0.251
CPI+fingerprint_low_freq,0.357,0.352,0.357,0.35,0.347
CPI+fingerprint_cardiac,0.37,0.37,0.368,0.364,0.371
CPI+fingerprint_ten,0.065,0.075,0.078,0.061,0.073
CPI+fingerprint_ten_mid,0.131,0.131,0.132,0.125,0.127
Avg Rank,2.75,2.22,2.69,3.53,3.81
Wins,4.5,5.0,4.5,2.0,2.0
