Dataset,XofN_none N/A,XofN Jac-max Org,XofN VarRed Org,XofN Vouk Org
fingerprint_high_freq,0.519,0.499,0.504,0.498
fingerprint_mid_freq,0.231,0.233,0.231,0.215
fingerprint_low_freq,0.371,0.37,0.363,0.345
fingerprint_cardiac,0.383,0.363,0.356,0.355
fingerprint_ten,0.06,0.054,0.063,0.073
fingerprint_ten_mid,0.11,0.103,0.114,0.111
CPI_high_freq,0.535,0.534,0.517,0.528
CPI_mid_freq,0.241,0.237,0.237,0.236
CPI_low_freq,0.33,0.332,0.329,0.318
CPI_cardiac,0.341,0.345,0.346,0.341
CPI_ten,0.055,0.056,0.07,0.061
CPI_ten_mid,0.107,0.108,0.116,0.109
CPI+fingerprint_high_freq,0.492,0.49,0.479,0.493
CPI+fingerprint_mid_freq,0.266,0.266,0.268,0.251
CPI+fingerprint_low_freq,0.357,0.363,0.357,0.347
CPI+fingerprint_cardiac,0.37,0.361,0.368,0.371
CPI+fingerprint_ten,0.065,0.075,0.078,0.073
CPI+fingerprint_ten_mid,0.131,0.128,0.132,0.127
Avg Rank,2.33,2.5,2.14,3.03
Wins,5.0,3.0,7.0,3.0
