Dataset,XofN_none N/A,XofN Jac-max Ung,XofN Jac-max Org,XofN VarRed Ung,XofN VarRed Org,XofN Vouk Ung,XofN Vouk Org
fingerprint_high_freq,0.519,0.498,0.499,0.505,0.504,0.505,0.498
fingerprint_mid_freq,0.231,0.237,0.233,0.237,0.231,0.225,0.215
fingerprint_low_freq,0.371,0.374,0.37,0.364,0.363,0.349,0.345
fingerprint_cardiac,0.383,0.379,0.363,0.365,0.356,0.348,0.355
fingerprint_ten,0.06,0.073,0.054,0.064,0.063,0.056,0.073
fingerprint_ten_mid,0.11,0.117,0.103,0.124,0.114,0.116,0.111
CPI_high_freq,0.535,0.537,0.534,0.529,0.517,0.534,0.528
CPI_mid_freq,0.241,0.244,0.237,0.237,0.237,0.249,0.236
CPI_low_freq,0.33,0.331,0.332,0.337,0.329,0.312,0.318
CPI_cardiac,0.341,0.346,0.345,0.344,0.346,0.343,0.341
CPI_ten,0.055,0.067,0.056,0.081,0.07,0.06,0.061
CPI_ten_mid,0.107,0.116,0.108,0.118,0.116,0.112,0.109
CPI+fingerprint_high_freq,0.492,0.493,0.49,0.482,0.479,0.495,0.493
CPI+fingerprint_mid_freq,0.266,0.26,0.266,0.255,0.268,0.257,0.251
CPI+fingerprint_low_freq,0.357,0.357,0.363,0.352,0.357,0.35,0.347
CPI+fingerprint_cardiac,0.37,0.357,0.361,0.37,0.368,0.364,0.371
CPI+fingerprint_ten,0.065,0.065,0.075,0.075,0.078,0.061,0.073
CPI+fingerprint_ten_mid,0.131,0.127,0.128,0.131,0.132,0.125,0.127
Avg Rank,3.83,3.06,4.19,3.14,3.69,4.83,5.25
Wins,2.0,3.5,1.0,4.5,3.5,2.0,1.5
