Dataset,XofN_none N/A,XofN Jac-max Ung,XofN Jac-max Org,XofN VarRed Ung,XofN VarRed Org,XofN Vouk Ung,XofN Vouk Org
fingerprint_high_freq,1.0,78.2; 0.7,78.2; 1.3,94.5; 0.7,94.5; 1.3,4.1; 0.6,4.1; 1.4
fingerprint_mid_freq,1.1,78.3; 0.7,78.3; 1.3,94.7; 0.7,94.7; 1.3,4.3; 0.6,4.3; 1.2
fingerprint_low_freq,1.1,78.4; 0.7,78.4; 1.3,94.7; 0.7,94.7; 1.3,6.7; 0.8,6.7; 1.5
fingerprint_cardiac,1.1,78.1; 0.7,78.1; 1.3,94.1; 0.7,94.1; 1.3,5.7; 0.7,5.7; 1.4
fingerprint_ten,1.1,74.4; 0.7,74.4; 1.3,94.2; 0.7,94.2; 1.4,3.9; 0.7,3.9; 1.4
fingerprint_ten_mid,1.1,75.7; 0.7,75.7; 1.3,96.1; 0.7,96.1; 1.3,4.5; 0.8,4.5; 1.4
CPI_high_freq,2.4,356.2; 0.9,356.2; 2.6,466.8; 0.9,466.8; 2.6,16.3; 0.6,16.3; 2.7
CPI_mid_freq,2.5,359.1; 1.0,359.1; 2.9,463.5; 0.9,463.5; 2.5,15.8; 0.8,15.8; 2.6
CPI_low_freq,2.5,358.1; 1.1,358.1; 3.0,459.8; 0.9,459.8; 2.6,22.9; 1.2,22.9; 3.2
CPI_cardiac,2.8,355.0; 1.0,355.0; 3.0,464.8; 0.9,464.8; 2.6,26.3; 1.2,26.3; 3.4
CPI_ten,2.4,343.3; 1.0,343.3; 2.7,421.4; 0.9,421.4; 2.5,12.7; 0.9,12.7; 2.6
CPI_ten_mid,2.8,349.7; 1.1,349.7; 3.1,429.9; 0.9,429.9; 2.7,14.8; 1.0,14.8; 3.0
CPI+fingerprint_high_freq,2.9,534.4; 1.2,534.4; 3.5,716.8; 1.3,716.8; 3.7,13.5; 0.7,13.5; 3.5
CPI+fingerprint_mid_freq,2.9,537.5; 1.1,537.5; 3.5,719.9; 1.2,719.9; 3.6,16.3; 0.8,16.3; 3.6
CPI+fingerprint_low_freq,3.1,536.2; 1.2,536.2; 3.9,710.4; 1.3,710.4; 3.9,18.0; 1.1,18.0; 4.2
CPI+fingerprint_cardiac,3.2,527.2; 1.2,527.2; 3.9,702.6; 1.3,702.6; 3.9,18.8; 1.0,18.8; 4.1
CPI+fingerprint_ten,3.0,506.8; 1.1,506.8; 3.6,712.8; 1.2,712.8; 3.9,16.1; 0.8,16.1; 3.8
CPI+fingerprint_ten_mid,3.1,574.4; 1.2,574.4; 4.0,697.8; 1.2,697.8; 3.7,19.4; 0.9,19.4; 3.4
