Dataset,XofN method,Ung or Org,Macro-AUROC,Hamming Loss,Subset Accuracy,Macro-F1,Macro-Recall,Macro-Precision,Ranking Loss,Nodes; Leaves,#XofN; #Feat/XofN,#Ung. Feats,XofN time (s); PCT tr. time (s)
fingerprint_mid_freq,XofN_none,N/A,0.574,0.386,0.231,0.415,0.373,0.474,0.258,161.0; 81.0,N/A,N/A,1.1
fingerprint_low_freq,XofN_none,N/A,0.511,0.246,0.371,0.02,0.017,0.077,0.302,8.8; 4.9,N/A,N/A,1.1
fingerprint_high_freq,XofN_none,N/A,0.517,0.227,0.519,0.87,0.983,0.782,0.164,18.8; 9.9,N/A,N/A,1.0
fingerprint_cardiac,XofN_none,N/A,0.517,0.256,0.383,0.016,0.015,0.038,0.231,8.6; 4.8,N/A,N/A,1.1
CPI_mid_freq,XofN_none,N/A,0.583,0.385,0.241,0.428,0.376,0.511,0.264,127.8; 64.4,N/A,N/A,2.5
CPI_low_freq,XofN_none,N/A,0.594,0.263,0.33,0.187,0.147,0.422,0.294,49.4; 25.2,N/A,N/A,2.5
CPI_high_freq,XofN_none,N/A,0.55,0.216,0.535,0.877,0.981,0.794,0.162,22.4; 11.7,N/A,N/A,2.4
CPI_cardiac,XofN_none,N/A,0.561,0.283,0.341,0.204,0.156,0.424,0.244,52.0; 26.5,N/A,N/A,2.8
CPI+fingerprint_mid_freq,XofN_none,N/A,0.597,0.356,0.266,0.405,0.336,0.528,0.256,160.8; 80.9,N/A,N/A,2.9
CPI+fingerprint_low_freq,XofN_none,N/A,0.591,0.241,0.357,0.241,0.164,0.516,0.287,60.0; 30.5,N/A,N/A,3.1
CPI+fingerprint_high_freq,XofN_none,N/A,0.57,0.239,0.492,0.858,0.944,0.789,0.153,61.2; 31.1,N/A,N/A,2.9
CPI+fingerprint_cardiac,XofN_none,N/A,0.588,0.263,0.37,0.237,0.167,0.451,0.226,75.4; 38.2,N/A,N/A,3.2
fingerprint_ten,XofN_none,N/A,0.607,0.398,0.06,0.599,0.61,0.593,0.287,151.6; 76.3,N/A,N/A,1.1
CPI_ten,XofN_none,N/A,0.616,0.387,0.055,0.604,0.604,0.623,0.264,108.0; 54.5,N/A,N/A,2.4
CPI+fingerprint_ten,XofN_none,N/A,0.608,0.409,0.065,0.569,0.558,0.587,0.284,171.8; 86.4,N/A,N/A,3.0
fingerprint_ten_mid,XofN_none,N/A,0.58,0.35,0.11,0.323,0.248,0.504,0.35,85.6; 43.3,N/A,N/A,1.1
CPI_ten_mid,XofN_none,N/A,0.571,0.355,0.107,0.352,0.274,0.532,0.372,68.8; 34.9,N/A,N/A,2.8
CPI+fingerprint_ten_mid,XofN_none,N/A,0.598,0.344,0.131,0.354,0.28,0.504,0.343,102.4; 51.7,N/A,N/A,3.1
fingerprint_mid_freq,XofN Jac-max,Ung,0.605,0.368,0.237,0.404,0.343,0.499,0.258,158.0; 79.5,108.0; 5.0,0.0,78.3; 0.7
