ADR,Name,Frequency,Count
se__C0027497,Nausea,0.85,1179
se__C0018681,Headache,0.787,1092
se__C0011603,Dermatitis,0.771,1070
se__C0015230,Rash,0.766,1062
se__C0042963,Vomiting,0.764,1060
se__C0012833,Dizziness,0.731,1014
se__C0011991,Diarrhoea,0.69,957
se__C0033774,Pruritus,0.666,924
se__C0004093,Asthenia,0.642,890
se__C0020517,Hypersensitivity,0.634,880
se__C0000737,Abdominal pain,0.583,808
se__C0042109,Urticaria,0.562,779
se__C0687713,Gastrointestinal pain,0.551,764
se__C0015967,Body temperature increased,0.543,753
se__C0017178,Gastrointestinal disorder,0.525,728
se__C0030193,Pain,0.523,725
se__C1443060,Feeling abnormal,0.517,717
se__C0015672,Fatigue,0.515,714
se__C0009806,Constipation,0.495,687
se__C0013404,Dyspnoea,0.495,687
se__C0013395,Dyspepsia,0.495,686
se__C0948594,Musculoskeletal discomfort,0.489,678
se__C0232462,Decreased appetite,0.488,677
se__C0917801,Insomnia,0.477,662
se__C2830004,Somnolence,0.474,657
se__C0020649,Hypotension,0.47,652
se__C0030554,Paraesthesia,0.459,637
se__C0037274,Skin disorder,0.451,625
se__C0027765,Nervous system disorder,0.443,614
se__C0002792,Anaphylactic shock,0.442,613
se__C0020458,Hyperhidrosis,0.426,591
se__C0040034,Thrombocytopenia,0.426,591
se__C0009450,Infection,0.424,588
se__C0036974,Shock,0.42,583
se__C0039231,Tachycardia,0.419,581
se__C0003862,Arthralgia,0.413,573
se__C0013604,Oedema,0.407,565
se__C0010200,Cough,0.402,557
se__C0231528,Myalgia,0.401,556
se__C0020538,Hypertension,0.4,555
se__C0234215,Discomfort,0.394,547
se__C0043352,Dry mouth,0.391,543
se__C0008031,Chest pain,0.389,540
se__C0003467,Anxiety,0.388,538
se__C0009676,Confusional state,0.387,537
se__C0041657,Loss of consciousness,0.376,521
se__C0002994,Angioedema,0.375,520
se__C0036572,Convulsion,0.367,509
se__C0002871,Anaemia,0.362,502
se__C0023530,Leukopenia,0.361,501
se__C0030252,Palpitations,0.36,500
se__C0042571,Vertigo,0.359,498
se__C0039070,Syncope,0.358,497
se__C0231218,Malaise,0.354,491
se__C0004604,Back pain,0.353,489
se__C2047937,Ill-defined disorder,0.344,477
se__C0041834,Erythema,0.342,475
se__C0037763,Muscle spasms,0.34,472
se__C0085631,Agitation,0.337,467
se__C0162429,Malnutrition,0.332,460
se__C0040822,Tremor,0.329,456
se__C0004936,Mental disorder,0.325,451
se__C0344232,Vision blurred,0.325,451
se__C0042373,Angiopathy,0.324,449
se__C0013378,Dysgeusia,0.32,444
se__C0025061,Mediastinal disorder,0.32,444
se__C0021053,Immune system disorder,0.317,440
se__C0016204,Flatulence,0.317,439
se__C0002170,Alopecia,0.315,437
se__C0085593,Chills,0.311,432
se__C0027769,Nervousness,0.311,431
se__C0233494,Tension,0.307,426
se__C0016382,Flushing,0.301,417
se__C0018799,Cardiac disorder,0.293,406
se__C0085649,Oedema peripheral,0.291,403
se__C0003811,Arrhythmia,0.29,402
se__C0015397,Eye disorder,0.288,399
se__C0009782,Connective tissue disorder,0.285,395
se__C0040264,Tinnitus,0.28,388
se__C0014742,Erythema multiforme,0.277,384
se__C0041969,Urethral disorder,0.274,380
se__C3665347,Visual impairment,0.273,379
se__C0031350,Pharyngitis,0.271,376
se__C0019080,Haemorrhage,0.271,376
se__C0042075,Urinary tract disorder,0.271,376
se__C0518015,Haemoglobin,0.27,374
se__C0035455,Rhinitis,0.268,372
se__C0019158,Hepatitis,0.26,361
se__C0428977,Bradycardia,0.256,355
se__C0037199,Sinusitis,0.255,354
se__C0020580,Hypoaesthesia,0.255,354
se__C0014591,Epistaxis,0.25,347
se__C0042029,Urinary tract infection,0.249,346
se__C1384353,Infestation,0.246,341
se__C0267792,Hepatobiliary disease,0.244,339
se__C0018524,Hallucination,0.244,338
se__C0031117,Neuropathy peripheral,0.24,333
se__C0018965,Haematuria,0.239,332
se__C0032285,Pneumonia,0.237,329
se__C0027051,Myocardial infarction,0.236,328
se__C0948089,Acute coronary syndrome,0.236,328
se__C0001824,Agranulocytosis,0.236,327
se__C0038362,Stomatitis,0.235,326
se__C0020456,Hyperglycaemia,0.234,325
se__C0043094,Weight increased,0.234,325
se__C0009763,Conjunctivitis,0.234,325
se__C0035078,Renal failure,0.234,324
se__C0041912,Upper respiratory tract infection,0.232,322
se__C0022346,Jaundice,0.231,321
se__C0011570,Depression,0.229,318
se__C0038325,Stevens-Johnson syndrome,0.228,316
se__C0043096,Weight decreased,0.226,313
se__C0030305,Pancreatitis,0.224,311
se__C0027947,Neutropenia,0.221,307
se__C0162830,Photosensitivity reaction,0.218,302
se__C0006277,Bronchitis,0.217,301
se__C0042023,Pollakiuria,0.213,296
se__C0242350,Erectile dysfunction,0.213,295
se__C0013428,Dysuria,0.212,294
se__C0000731,Abdominal distension,0.211,293
se__C0030312,Pancytopenia,0.21,291
se__C0014457,Eosinophilia,0.206,286
se__C0002962,Angina pectoris,0.206,286
se__C0232487,Abdominal discomfort,0.205,285
se__C0006266,Bronchospasm,0.202,280
se__C0021400,Influenza,0.2,278
se__C0027441,Nasopharyngitis,0.2,277
se__C0151786,Muscular weakness,0.198,274
se__C0151904,Aspartate aminotransferase increased,0.195,270
se__C0004096,Asthma,0.195,270
se__C0151905,Alanine aminotransferase increased,0.193,268
se__C0151908,Dry skin,0.189,262
se__C0232492,Abdominal pain upper,0.188,261
se__C0011168,Dysphagia,0.187,260
se__C0017152,Gastritis,0.187,259
se__C0006145,Breast disorder,0.182,253
se__C0014518,Toxic epidermal necrolysis,0.182,253
se__C0020651,Orthostatic hypotension,0.18,250
se__C0030196,Pain in extremity,0.18,249
se__C0020621,Hypokalaemia,0.18,249
se__C0340865,Anaphylactoid reaction,0.176,244
se__C0235431,Blood creatinine increased,0.176,244
se__C0151766,Liver function test abnormal,0.174,242
se__C0085633,Mood swings,0.173,240
se__C0011175,Dehydration,0.172,238
se__C0004134,Ataxia,0.172,238
se__C0542571,Face oedema,0.172,238
se__C0080274,Urinary retention,0.169,234
se__C0855242,Disturbance in sexual arousal,0.167,232
se__C0018790,Cardiac arrest,0.167,232
se__C0149931,Migraine,0.166,230
se__C0233472,Affect lability,0.163,226
se__C0022107,Irritability,0.163,226
se__C0038454,Cerebrovascular accident,0.161,223
se__C0033975,Psychotic disorder,0.159,220
se__C0236075,Menopausal symptoms,0.159,220
se__C0003864,Arthritis,0.158,219
se__C0029408,Osteoarthritis,0.158,219
se__C0232461,Increased appetite,0.158,219
se__C0023380,Lethargy,0.158,219
se__C0020615,Hypoglycaemia,0.157,218
se__C0034150,Purpura,0.156,216
se__C0600142,Hot flush,0.156,216
se__C0018801,Cardiac failure,0.155,215
se__C0012569,Diplopia,0.154,214
se__C0017181,Gastrointestinal haemorrhage,0.154,214
se__C0020625,Hyponatraemia,0.154,213
se__C0085932,Dermatitis bullous,0.151,210
se__C0039971,Thirst,0.151,210
se__C0022660,Renal failure acute,0.15,208
se__C0011124,Libido decreased,0.15,208
se__C0011606,Dermatitis exfoliative,0.149,206
se__C1565489,Renal impairment,0.149,206
se__C0004238,Atrial fibrillation,0.149,206
se__C0040046,Thrombophlebitis,0.148,205
se__C3263723,Injury,0.148,205
se__C0018802,Cardiac failure congestive,0.146,203
se__C0027424,Nasal congestion,0.146,203
se__C0002622,Amnesia,0.146,203
se__C0038999,Swelling,0.146,202
se__C0085605,Hepatic failure,0.145,201
se__C0011849,Diabetes mellitus,0.145,201
se__C1368065,Vascular purpura,0.144,200
se__C0151827,Eye pain,0.143,199
se__C0002878,Haemolytic anaemia,0.143,198
se__C0013595,Eczema,0.141,196
se__C0851578,Sleep disorder,0.14,194
se__C0011053,Deafness,0.139,193
se__C0017160,Gastroenteritis,0.138,192
se__C0032617,Polyuria,0.138,191
se__C0151735,Injection site reaction,0.136,188
se__C0852911,Blood alkaline phosphatase increased,0.134,186
se__C0243026,Sepsis,0.133,185
se__C0497156,Lymphadenopathy,0.133,184
se__C0086565,Hepatic function abnormal,0.131,182
se__C0013491,Ecchymosis,0.13,180
se__C0013456,Ear pain,0.128,177
se__C0018418,Gynaecomastia,0.127,176
se__C0027651,Neoplasm,0.127,176
se__C0233407,Disorientation,0.126,175
