dataset,length,avg_freq
CPI+fingerprint_cardiac,2,55.1
CPI+fingerprint_cardiac,3,43.6
CPI+fingerprint_cardiac,4,30.7
CPI+fingerprint_cardiac,5,15.8
CPI+fingerprint_cardiac,6,4.6
CPI+fingerprint_cardiac,7,2.0
CPI+fingerprint_cardiac,8,1.33
CPI+fingerprint_high_freq,2,18.3
CPI+fingerprint_high_freq,3,24.6
CPI+fingerprint_high_freq,4,15.7
CPI+fingerprint_high_freq,5,9.5
CPI+fingerprint_high_freq,6,3.11
CPI+fingerprint_high_freq,7,1.86
CPI+fingerprint_high_freq,8,2.0
CPI+fingerprint_high_freq,10,1.0
CPI+fingerprint_low_freq,2,71.8
CPI+fingerprint_low_freq,3,67.2
CPI+fingerprint_low_freq,4,45.5
CPI+fingerprint_low_freq,5,17.9
CPI+fingerprint_low_freq,6,3.9
CPI+fingerprint_low_freq,7,2.38
CPI+fingerprint_low_freq,8,2.0
CPI+fingerprint_low_freq,9,1.0
CPI+fingerprint_mid_freq,2,57.8
CPI+fingerprint_mid_freq,3,39.4
CPI+fingerprint_mid_freq,4,18.8
CPI+fingerprint_mid_freq,5,7.4
CPI+fingerprint_mid_freq,6,2.67
CPI+fingerprint_mid_freq,7,1.0
CPI+fingerprint_mid_freq,8,1.0
CPI_cardiac,2,167.7
CPI_cardiac,3,143.7
CPI_cardiac,4,56.9
CPI_cardiac,5,15.1
CPI_cardiac,6,1.5
CPI_cardiac,7,1.0
CPI_cardiac,8,1.0
CPI_high_freq,2,32.2
CPI_high_freq,3,24.5
CPI_high_freq,4,17.2
CPI_high_freq,5,10.2
CPI_high_freq,6,3.44
CPI_high_freq,7,1.75
CPI_low_freq,2,161.9
CPI_low_freq,3,143.5
CPI_low_freq,4,68.0
CPI_low_freq,5,16.6
CPI_low_freq,6,2.7
CPI_low_freq,7,1.33
CPI_mid_freq,2,103.6
CPI_mid_freq,3,28.3
CPI_mid_freq,4,6.9
CPI_mid_freq,5,2.2
CPI_mid_freq,6,1.0
fingerprint_cardiac,2,18.6
fingerprint_cardiac,3,17.9
fingerprint_cardiac,4,20.0
fingerprint_cardiac,5,12.6
fingerprint_cardiac,6,6.4
fingerprint_cardiac,7,2.5
fingerprint_cardiac,8,2.5
fingerprint_high_freq,2,28.3
fingerprint_high_freq,3,25.9
fingerprint_high_freq,4,15.2
fingerprint_high_freq,5,5.3
fingerprint_high_freq,6,2.62
fingerprint_high_freq,7,1.67
fingerprint_high_freq,8,1.0
fingerprint_low_freq,2,33.5
fingerprint_low_freq,3,37.5
fingerprint_low_freq,4,42.5
fingerprint_low_freq,5,18.7
fingerprint_low_freq,6,7.2
fingerprint_low_freq,7,2.56
fingerprint_low_freq,8,1.0
fingerprint_low_freq,9,1.0
fingerprint_mid_freq,2,38.9
fingerprint_mid_freq,3,20.9
fingerprint_mid_freq,4,13.2
fingerprint_mid_freq,5,4.4
fingerprint_mid_freq,6,2.75
fingerprint_mid_freq,7,1.0
fingerprint_mid_freq,8,1.0
