,include_original_features,dataset,averageAUROC,HammingLoss,SubsetAccuracy,RankingLoss,MacroPrecision,MacroRecall,MacroFOne,#used,#unused,group_max_len,group_min_len,Nodes; Leaves,#XofN; #Feat/XofN,# Ung. Feats,XofN time (s); PCT tr. time (s)
1,no_org,fingerprint_mid_freq,0.565,0.392,0.225,0.27,0.458,0.321,0.373,78.8,461.2,5.8,2.0,133.6; 67.3,78.7; 2.8,461.2,4.3; 0.6
0,with_org,fingerprint_mid_freq,0.58,0.391,0.215,0.258,0.465,0.375,0.413,78.8,461.2,5.8,2.0,172.8; 86.9,78.7; 2.8,461.2,4.3; 1.2
5,no_org,fingerprint_low_freq,0.569,0.254,0.349,0.277,0.385,0.135,0.194,126.9,413.1,7.3,2.0,50.0; 25.5,141.9; 3.5,413.1,6.7; 0.8
4,with_org,fingerprint_low_freq,0.587,0.256,0.345,0.271,0.452,0.153,0.208,126.9,413.1,7.3,2.0,63.0; 32.0,141.9; 3.5,413.1,6.7; 1.5
8,no_org,fingerprint_high_freq,0.565,0.23,0.505,0.161,0.794,0.953,0.866,70.2,469.8,6.8,2.0,35.8; 18.4,78.1; 3.1,469.8,4.1; 0.6
11,with_org,fingerprint_high_freq,0.565,0.233,0.498,0.162,0.793,0.948,0.863,70.2,469.8,6.8,2.0,45.0; 23.0,78.1; 3.1,469.8,4.1; 1.4
13,no_org,fingerprint_cardiac,0.554,0.274,0.348,0.222,0.391,0.132,0.171,93.8,446.2,7.0,2.0,46.6; 23.8,78.0; 3.7,446.2,5.7; 0.7
12,with_org,fingerprint_cardiac,0.555,0.271,0.355,0.224,0.423,0.15,0.215,93.8,446.2,7.0,2.0,54.4; 27.7,78.0; 3.7,446.2,5.7; 1.4
17,no_org,CPI_mid_freq,0.58,0.377,0.249,0.269,0.527,0.327,0.397,78.5,1528.5,4.9,2.0,77.8; 39.4,140.2; 2.3,1528.5,15.8; 0.8
16,with_org,CPI_mid_freq,0.574,0.387,0.236,0.264,0.509,0.367,0.421,78.5,1528.5,4.9,2.0,119.8; 60.4,140.2; 2.3,1528.5,15.8; 2.6
22,no_org,CPI_low_freq,0.599,0.267,0.312,0.28,0.472,0.189,0.229,150.3,1456.7,6.3,2.0,53.8; 27.4,393.1; 2.9,1456.7,22.9; 1.2
21,with_org,CPI_low_freq,0.598,0.265,0.318,0.281,0.488,0.201,0.279,150.3,1456.7,6.3,2.0,60.4; 30.7,393.1; 2.9,1456.7,22.9; 3.2
24,no_org,CPI_high_freq,0.535,0.218,0.534,0.164,0.794,0.978,0.875,55.4,1551.6,6.3,2.0,14.2; 7.6,87.9; 3.2,1551.6,16.3; 0.6
27,with_org,CPI_high_freq,0.595,0.223,0.528,0.164,0.795,0.968,0.872,55.4,1551.6,6.3,2.0,32.0; 16.5,87.9; 3.2,1551.6,16.3; 2.7
29,no_org,CPI_cardiac,0.555,0.282,0.343,0.244,0.431,0.138,0.172,130.3,1476.7,6.5,2.0,46.2; 23.6,385.2; 2.8,1476.7,26.3; 1.2
28,with_org,CPI_cardiac,0.564,0.286,0.341,0.246,0.41,0.135,0.171,130.3,1476.7,6.5,2.0,53.0; 27.0,385.2; 2.8,1476.7,26.3; 3.4
34,no_org,CPI+fingerprint_mid_freq,0.609,0.355,0.257,0.256,0.528,0.368,0.429,103.2,2043.8,6.2,2.0,135.6; 68.3,126.0; 2.9,2043.8,16.3; 0.8
35,with_org,CPI+fingerprint_mid_freq,0.597,0.366,0.251,0.257,0.505,0.377,0.429,103.2,2043.8,6.2,2.0,170.2; 85.6,126.0; 2.9,2043.8,16.3; 3.6
37,no_org,CPI+fingerprint_low_freq,0.594,0.251,0.35,0.281,0.461,0.16,0.228,164.4,1982.6,7.1,2.0,59.8; 30.4,208.5; 3.1,1982.6,18.0; 1.1
36,with_org,CPI+fingerprint_low_freq,0.588,0.25,0.347,0.278,0.463,0.171,0.24,164.4,1982.6,7.1,2.0,69.6; 35.3,208.5; 3.1,1982.6,18.0; 4.2
